name|title|year|rank|releasedate|agg_genres
Eastwood, Clint|White Hunter Black Heart (1990)|1990|6.7 |1990/09/14|Adventure;Drama
Allen, Woody|Annie Hall (1977)|1977|8.1 |1977/04/20|Comedy;Drama;Romance
Swayze, Patrick|City of Joy (1992)|1992|6.3 |1992/04/15|Drama
Fonda, Peter (I)|The Wild Angels (1966)|1966|5.7 |1966/07/20|Action;Drama;Thriller
Cruise, Tom|Valkyrie (2008)|2008|7.1 |2008/12/25|Drama;Thriller;War
Price, Vincent (I)|The Great Mouse Detective (1986)|1986|7.2 |1986/07/02|Adventure;Animation;Family;Mystery
Mitchell, Cameron (I)|The Tomb (1986)|1986|3.5 |1986/10/31|Fantasy;Horror
Downey Jr., Robert|Iron Man (2008)|2008|7.9 |2008/05/02|Action;Adventure;Sci-Fi
Chambers, Marilyn (I)|Angel of H.E.A.T. (1983)|1983|3.7 |1983/07/01|Action;Sci-Fi
Martin, Steve (I)|Disneyland: The First 50 Magical Years (2005)|2005|8.1 |2005/05/05|Comedy;Documentary;Family;History;Short
Neeson, Liam|Schindler's List (1993)|1993|8.9 |1994/02/04|Biography;Drama;History
Washington, Denzel|The Book of Eli (2010)|2010|6.9 |2010/01/15|Action;Adventure;Drama;Thriller
Sheen, Charlie|The Chase (1994)|1994|5.7 |1994/03/04|Action;Adventure;Comedy;Crime;Romance;Thriller
Reynolds, Burt (I)|Time of the Wolf (2002)|2002|6.3 |2002/05/01|Drama
Wilson, Luke (I)|Alex & Emma (2003)|2003|5.5 |2003/06/20|Comedy;Romance
Hawke, Ethan|Hamlet (2000)|2000|6.0 |2000/06/23|Drama;Romance;Thriller
Washington, Denzel|The Siege (1998)|1998|6.3 |1998/11/06|Action;Crime;Drama;Thriller
Fonda, Peter (I)|Wanda Nevada (1979)|1979|5.4 |1979/06/01|Comedy;Mystery;Romance;Western
Chase, Chevy|Vacation (1983)|1983|7.4 |1983/07/29|Comedy
Dreyfuss, Richard|Always (1989)|1989|6.4 |1989/12/22|Drama;Fantasy;Romance
Field, Sally|Surrender (1987)|1987|5.3 |1987/10/09|Comedy
Eckhart, Aaron|Suspect Zero (2004)|2004|5.9 |2004/08/27|Crime;Thriller
Carrey, Jim|Yes Man (2008)|2008|6.9 |2008/12/19|Comedy;Romance
Depp, Johnny|Transcendence (2014/I)|2014|6.3 |2014/04/18|Drama;Mystery;Romance;Sci-Fi;Thriller
Garner, James (I)|The Ultimate Gift (2006)|2006|7.4 |2007/03/09|Drama;Family;Romance
Murphy, Eddie (I)|Imagine That (2009)|2009|5.6 |2009/06/12|Comedy;Drama;Family;Fantasy
Cage, Nicolas|Snake Eyes (1998)|1998|5.9 |1998/08/07|Action;Crime;Drama;Mystery;Thriller
Atsumi, Kiyoshi|Otoko wa tsurai yo: Torajiro wasurenagusa (1973)|1973|6.9 |1974/01/04|Comedy
Urban, Karl|The Loft (2014)|2014|6.3 |2015/01/30|Mystery;Romance;Thriller
Hackman, Gene|Imaginary Witness: Hollywood and the Holocaust (2004)|2004|7.5 |2007/12/25|Documentary;History
Perry, Tyler (I)|Meet the Browns (2008)|2008|3.9 |2008/03/21|Comedy;Drama;Romance
Liotta, Ray|Phoenix (1998)|1998|6.4 |1998/09/04|Crime;Drama
Price, Vincent (I)|Vincent (1982)|1982|8.4 |1982/10/01|Animation;Family;Fantasy;Short
Dempsey, Patrick (I)|Bank Robber (1993)|1993|4.4 |1993/12/03|Comedy;Crime;Romance
Liotta, Ray|The Devil's in the Details (2013)|2013|3.7 |2013/03/12|Thriller
Reynolds, Ryan (I)|Turbo (2013)|2013|6.5 |2013/07/17|Adventure;Animation;Comedy;Family;Sport
Fahey, Jeff|Diablita (2007)|2007|3.7 |2007/04/01|Action;Comedy
Travolta, John (I)|White Man's Burden (1995)|1995|5.2 |1995/12/01|Drama;Thriller
Atsumi, Kiyoshi|Zoku otoko wa tsurai yo (1969)|1969|7.3 |1970/07/01|Comedy;Drama;Romance
Damon, Matt|All the Pretty Horses (2000)|2000|5.8 |2000/12/25|Drama;Romance;Western
Carell, Steve|Despicable Me (2010)|2010|7.7 |2010/07/09|Animation;Comedy;Family
Beatty, Warren (I)|Heaven Can Wait (1978)|1978|6.9 |1978/06/28|Comedy;Romance;Sport
Goldberg, Whoopi|Jumpin' Jack Flash (1986)|1986|5.7 |1986/10/10|Comedy;Romance;Thriller
Roberts, Eric (I)|Tripfall (2000)|2000|3.1 |2000/06/27|Thriller
Bale, Christian|The Machinist (2004)|2004|7.7 |2004/12/03|Drama;Thriller
Nozawa, Masako|Doragon bôru Z: Kono yo de ichiban tsuyoi yatsu (1990)|1990|7.1 |1998/05/26|Action;Adventure;Animation;Sci-Fi;Thriller
Ferrell, Will (I)|Elf (2003)|2003|6.9 |2003/11/07|Comedy;Family;Fantasy;Romance
Travolta, John (I)|Lucky Numbers (2000)|2000|5.0 |2000/10/27|Comedy;Crime
Fraser, Brendan|Monkeybone (2001)|2001|4.7 |2001/02/23|Animation;Comedy;Fantasy
Jones, Tommy Lee|Cobb (1994)|1994|6.4 |1994/12/02|Biography;Drama;Sport
Wilson, Owen (I)|Free Birds (2013)|2013|5.9 |2013/11/01|Adventure;Animation;Comedy;Family
Wahlberg, Mark (I)|Max Payne (2008)|2008|5.4 |2008/10/17|Action;Crime;Drama;Mystery;Thriller
Beatty, Warren (I)|Town & Country (2001)|2001|4.3 |2001/04/27|Comedy;Romance
Ford, Harrison (I)|Indiana Jones and the Kingdom of the Crystal Skull (2008)|2008|6.2 |2008/05/22|Action;Adventure
Washington, Denzel|Courage Under Fire (1996)|1996|6.6 |1996/07/12|Action;Drama;Mystery;Thriller;War
Wilson, Luke (I)|Bottle Rocket (1996)|1996|7.1 |1996/02/21|Comedy;Crime;Drama
Gyllenhaal, Jake|Moonlight Mile (2002)|2002|6.7 |2002/10/04|Drama;Romance
Carrey, Jim|Man on the Moon (1999)|1999|7.4 |1999/12/22|Biography;Comedy;Drama
Price, Vincent (I)|The Tomb of Ligeia (1964)|1964|6.6 |1965/01/20|Drama;Horror;Thriller
Caine, Michael (I)|Youth (2015/I)|2015|7.4 |2015/12/04|Drama
Goldberg, Whoopi|Fatal Beauty (1987)|1987|5.2 |1987/10/30|Action;Comedy;Crime;Drama;Thriller
Brody, Adrien|Predators (2010)|2010|6.4 |2010/07/09|Action;Adventure;Sci-Fi;Thriller
Travolta, John (I)|Saturday Night Fever (1977)|1977|6.8 |1977/12/16|Drama;Music;Romance
Ameche, Don|That's My Man (1947)|1947|6.4 |1947/06/01|Drama;Romance;Sport
Roberts, Eric (I)|The Perfect Summer (2013)|2013|5.3 |2013/07/13|Drama
Diaz, Cameron|Charlie's Angels (2000)|2000|5.5 |2000/11/03|Action;Adventure;Comedy;Crime;Thriller
Matthau, Walter|A Guide for the Married Man (1967)|1967|6.8 |1967/05/25|Comedy;Romance
Duchovny, David|Return to Me (2000)|2000|6.9 |2000/04/07|Comedy;Drama;Romance
Russell, Kurt (I)|Escape from New York (1981)|1981|7.2 |1981/07/10|Action;Sci-Fi
Guttenberg, Steve|The Man Who Wasn't There (1983)|1983|3.5 |1983/08/12|Action;Adventure;Comedy;Fantasy;Romance;Sci-Fi
Allen, Woody|Play It Again, Sam (1972)|1972|7.7 |1972/05/04|Comedy;Romance
Akkineni, Nagarjuna|Super (2005)|2005|5.0 |2005/07/22|Action;Comedy;Drama;Mystery;Romance
Clooney, George|The Men Who Stare at Goats (2009)|2009|6.3 |2009/11/06|Comedy;War
Hoffman, Dustin|Rain Man (1988)|1988|8.0 |1988-12-16|Drama
Costner, Kevin|Dances with Wolves (1990)|1990|8.0 |1990-11-21|Adventure;Drama;Western
Roso, Emilio (I)|Joshua Tree (2011)|2011|5.1 |2011-02-01|Action
Bridges, Jeff (I)|8 Million Ways to Die (1986)|1986|5.6 |1986-04-25|Action;Adventure;Crime;Thriller
Moore, Dudley|Blame It on the Bellboy (1992)|1992|5.4 |1992-03-06|Comedy
Nielsen, Leslie|The Resurrection of Zachary Wheeler (1971)|1971|5.4 |1971-11-01|Mystery;Sci-Fi;Thriller
Akkineni, Nagarjuna|Gaganam (2011)|2011|7.2 |2011-02-11|Action;Crime
Douglas, Michael (I)|The Game (1997)|1997|7.8 |1997-09-12|Drama;Mystery;Thriller
Perry, Tyler (I)|Why Did I Get Married? (2007)|2007|5.5 |2007-10-12|Comedy;Drama
Lee, Christopher (I)|End of the World (1977)|1977|2.8 |1977-08-01|Mystery;Sci-Fi;Thriller
Kosugi, Shô|Pray for Death (1985)|1985|5.7 |1985-11-01|Action;Drama
Grant, Hugh (I)|Sirens (1993)|1993|5.8 |1994-11-03|Comedy;Drama;Romance
Willis, Bruce|Unbreakable (2000)|2000|7.2 |2000-11-22|Drama;Mystery;Sci-Fi;Thriller
Wayans, Damon|Bamboozled (2000)|2000|6.4 |2000-10-20|Comedy;Drama;Music
Le, Bruce|Jin se tai yang (1975)|1975|5.2 |1976-07-01|Action;Adventure;Drama
Li, Jet (I)|The Forbidden Kingdom (2008)|2008|6.6 |2008-04-18|Action;Adventure;Fantasy;Romance
Saxon, John|A Nightmare on Elm Street (1984)|1984|7.5 |1984-11-16|Horror
Dreyfuss, Richard|American Graffiti (1973)|1973|7.5 |1973-08-01|Comedy;Drama;Romance
Owen, Clive (I)|Powder Keg (2001)|2001|7.7 |2001-06-01|Action;Short
Mitchell, Cameron (I)|The Rebel Rousers (1970)|1970|3.7 |1970-04-01|Crime;Drama
Hoffman, Dustin|Hook (1991)|1991|6.7 |1991-12-11|Adventure;Comedy;Family;Fantasy
Paltrow, Gwyneth|Emma (1996)|1996|6.8 |1996-08-30|Comedy;Drama;Romance
McGregor, Ewan|Faster (2003)|2003|7.9 |2004-03-07|Documentary
Depardieu, Gérard|Le garçu (1995)|1995|6.7 |1996-05-03|Drama
Hackman, Gene|Superman II (1980)|1980|6.8 |1981-06-19|Action;Romance;Sci-Fi
Walken, Christopher|Engine Trouble (2002/II)|2002|7.7 |2002-09-09|Fantasy;Short
Fraser, Brendan|Journey to the Center of the Earth (2008)|2008|5.8 |2008-07-11|Action;Adventure;Family;Fantasy;Sci-Fi
Richard, Pierre (I)|Les compères (1983)|1983|7.0 |1984-03-01|Comedy;Crime
Cordero, Joaquín|Santo contra cerebro del mal (1961)|1961|5.5 |1961-01-01|Action;Adventure;Sci-Fi
Bridges, Jeff (I)|Arlington Road (1999)|1999|7.2 |1999-07-09|Crime;Drama;Thriller
Price, Vincent (I)|Vincent Price's Dracula (1982)|1982|7.1 |1982-01-01|Documentary
Downey Jr., Robert|Kiss Kiss Bang Bang (2005)|2005|7.7 |2005-11-18|Comedy;Crime;Mystery
Costner, Kevin|Field of Dreams (1989)|1989|7.6 |1989-05-05|Drama;Family;Fantasy;Sport
Wahlberg, Mark (I)|The Lovely Bones (2009)|2009|6.7 |2010-01-15|Drama;Fantasy
Bridges, Jeff (I)|The Last American Hero (1973)|1973|6.3 |1973-07-27|Drama;Sport
Seagal, Steven|Exit Wounds (2001)|2001|5.5 |2001-03-16|Action;Comedy;Crime;Drama;Thriller
Hawke, Ethan|Great Expectations (1998)|1998|6.8 |1998-01-30|Drama;Romance
Hackman, Gene|Lucky Lady (1975)|1975|5.2 |1975-12-25|Comedy;Drama
Sandler, Adam (I)|Mr. Deeds (2002)|2002|5.8 |2002-06-28|Comedy;Romance
Wayans, Damon|Major Payne (1995)|1995|6.1 |1995-03-24|Comedy
MacLaine, Shirley|Woman Times Seven (1967)|1967|6.2 |1967-06-27|Comedy;Drama
Aiello, Danny|Stiffs (2010/I)|2010|7.1 |2010-01-01|Comedy
Carrey, Jim|How the Grinch Stole Christmas (2000)|2000|6.0 |2000-11-17|Comedy;Family;Fantasy
Depp, Johnny|Sweeney Todd: The Demon Barber of Fleet Street (2007)|2007|7.5 |2007-12-21|Drama;Horror;Musical;Thriller
Ferrell, Will (I)|A Night at the Roxbury (1998)|1998|6.2 |1998-10-02|Comedy;Music;Romance
Snipes, Wesley|Blade: Trinity (2004)|2004|5.9 |2004-12-08|Action;Adventure;Fantasy;Horror;Sci-Fi;Thriller
Heston, Charlton (I)|The Ten Commandments (1956)|1956|7.9 |1956-10-05|Adventure;Biography;Drama
Pryor, Richard|Moving (1988)|1988|6.1 |1988-03-04|Comedy
Bateman, Jason|Extract (2009)|2009|6.2 |2009-09-04|Comedy;Crime;Romance
Lundgren, Dolph|Red Scorpion (1988)|1988|4.9 |1989-04-21|Action;Adventure
Butler, Gerard|Gamer (2009)|2009|5.8 |2009-09-04|Action;Sci-Fi;Thriller
Gooding Jr., Cuba|Chill Factor (1999)|1999|5.2 |1999-09-01|Action;Adventure;Comedy;Drama;Thriller
Allen, Woody|Sweet and Lowdown (1999)|1999|7.3 |2000-03-10|Comedy;Drama;Music
York, Michael (I)|Megiddo: The Omega Code 2 (2001)|2001|4.1 |2001-09-21|Action;Adventure;Fantasy;Sci-Fi;Thriller
Streisand, Barbra (I)|A Star Is Born (1976)|1976|6.5 |1976-12-17|Drama;Music;Romance
Seagal, Steven|The Glimmer Man (1996)|1996|5.3 |1996-10-04|Action;Comedy;Crime;Drama;Thriller
Jones, Tommy Lee|The Hunted (2003)|2003|6.0 |2003-03-14|Action;Crime;Drama;Thriller
Williams, Treat|Prince of the City (1981)|1981|7.7 |1981-08-21|Crime;Drama
Lee, Christopher (I)|Taste the Blood of Dracula (1970)|1970|6.4 |1970-06-07|Drama;Fantasy;Horror;Thriller
Theron, Charlize|North Country (2005)|2005|7.3 |2005-10-21|Drama
Wahl, Ken|The Wanderers (1979)|1979|7.5 |1979-07-04|Drama
Pine, Chris (I)|Rise of the Guardians (2012)|2012|7.3 |2012-11-21|Adventure;Animation;Family;Fantasy
McGregor, Ewan|Humpback Whales (2015)|2015|7.3 |2015-02-13|Documentary
Matthau, Walter|Gangster Story (1959)|1959|4.6 |1959-12-01|Crime;Drama;Thriller
Nielsen, Leslie|Dracula: Dead and Loving It (1995)|1995|5.7 |1995-12-22|Comedy;Fantasy;Horror
Witherspoon, Reese|A Far Off Place (1993)|1993|6.6 |1993-03-12|Adventure;Drama;Family;Romance
Kline, Kevin (I)|Silverado (1985)|1985|7.2 |1985-07-10|Action;Crime;Drama;Western
O'Neal, Ryan (I)|Fever Pitch (1985)|1985|3.9 |1985-11-22|Drama
Fonda, Peter (I)|Dirty Mary Crazy Larry (1974)|1974|6.7 |1974-05-17|Crime;Drama;Romance;Thriller
Cruise, Tom|Edge of Tomorrow (2014)|2014|7.9 |2014-06-06|Action;Adventure;Sci-Fi
De Niro, Robert|What Just Happened (2008)|2008|5.7 |2008-10-31|Comedy;Drama
Willis, Bruce|RED 2 (2013)|2013|6.7 |2013-07-19|Action;Comedy;Crime;Thriller
Snipes, Wesley|Jungle Fever (1991)|1991|6.5 |1991-06-07|Drama;Romance
Wallace, Dee (II)|The Howling (1981)|1981|6.6 |1981-04-10|Horror
Black, Jack (I)|Kung Fu Panda (2008)|2008|7.6 |2008-06-06|Action;Adventure;Animation;Comedy;Family
Quaid, Dennis|The Big Easy (1986)|1986|6.6 |1987-08-28|Crime;Drama;Romance;Thriller
Schwarzenegger, Arnold|Junior (1994)|1994|4.5 |1994-11-23|Comedy;Romance;Sci-Fi
Quaid, Dennis|The Day After Tomorrow (2004)|2004|6.4 |2004-05-28|Action;Adventure;Sci-Fi;Thriller
Bale, Christian|Knight of Cups (2015)|2015|7.3 |2016-03-04|Drama;Romance
Bridges, Jeff (I)|The Big Lebowski (1998)|1998|8.2 |1998-03-06|Comedy;Crime
Cage, Nicolas|Bangkok Dangerous (2008)|2008|5.4 |2008-09-05|Action;Crime;Thriller
Brosnan, Pierce|The World Is Not Enough (1999)|1999|6.4 |1999-11-19|Action;Adventure;Thriller
Gibson, Mel (I)|Forever Young (1992)|1992|6.2 |1992-12-16|Drama;Romance;Sci-Fi
Estevez, Emilio|Maximum Overdrive (1986)|1986|5.4 |1986-07-25|Action;Comedy;Horror;Sci-Fi
Price, Vincent (I)|Pit and the Pendulum (1961)|1961|7.1 |1961-08-12|Horror
Stallone, Sylvester|The Expendables 2 (2012)|2012|6.7 |2012-08-17|Action;Adventure;Thriller
Chan, Jackie (I)|The Spy Next Door (2010)|2010|5.4 |2010-01-15|Action;Comedy;Family
Crowe, Russell|No Way Back (1995)|1995|5.1 |1996-12-20|Action;Crime;Drama;Thriller
Lawrence, Martin (I)|Big Momma's House (2000)|2000|5.0 |2000-06-02|Action;Comedy;Crime
Wilder, Gene|Silver Streak (1976)|1976|6.9 |1976-12-03|Action;Comedy;Crime;Romance;Thriller
Chan, Jackie (I)|Diao shou guai zhao (1973)|1973|5.3 |1981-03-01|Action;Comedy;Drama
Nielsen, Leslie|Project: Kill (1976)|1976|3.9 |1976-10-01|Action;Drama
Dreyfuss, Richard|Silent Fall (1994)|1994|5.9 |1994-10-28|Drama;Mystery;Thriller
Seagal, Steven|Under Siege (1992)|1992|6.4 |1992-10-09|Action;Thriller
Theron, Charlize|Mighty Joe Young (1998)|1998|5.5 |1998-12-25|Action;Adventure;Family;Fantasy;Sci-Fi;Thriller
Swayze, Patrick|Point Break (1991)|1991|7.2 |1991-07-12|Action;Crime;Thriller
Baker, Joe Don|The Pack (1977)|1977|5.9 |1977-11-20|Horror;Thriller
Wahlberg, Mark (I)|The Yards (2000)|2000|6.4 |2000-10-27|Crime;Drama;Romance;Thriller
Streep, Meryl|A Fierce Green Fire (2012)|2012|6.8 |2013-01-01|Documentary
McDonough, Shannon (IV)|The Giant Spider (2013)|2013|6.4 |2013-05-22|Horror;Sci-Fi
Aykroyd, Dan|Dragnet (1987)|1987|5.9 |1987-06-26|Comedy;Crime
Eastwood, Clint|Honkytonk Man (1982)|1982|6.6 |1982-12-15|Comedy;Drama;Music;Western
Eastwood, Clint|Kelly's Heroes (1970)|1970|7.7 |1970-06-23|Adventure;Comedy;War
Chase, Chevy|Vegas Vacation (1997)|1997|5.9 |1997-02-14|Comedy
LaBeouf, Shia|Transformers: Revenge of the Fallen (2009)|2009|6.0 |2009-06-24|Action;Adventure;Sci-Fi
Travolta, John (I)|Shout (1991)|1991|4.9 |1991-10-04|Drama;Music;Romance
Hackman, Gene|Zandy's Bride (1974)|1974|6.2 |1974-05-19|Western
Brown, Jim (I)|...tick... tick... tick... (1970)|1970|6.6 |1970-01-09|Action;Drama
Roberts, Julia (I)|Runaway Bride (1999)|1999|5.4 |1999-07-30|Comedy;Romance
Sheen, Charlie|The Arrival (1996)|1996|6.3 |1996-05-31|Action;Sci-Fi;Thriller
Williamson, Fred|Black Caesar (1973)|1973|6.4 |1973-02-07|Action;Crime;Drama;Thriller
DeVito, Danny|Renaissance Man (1994)|1994|6.1 |1994-06-03|Comedy;Drama
Barrymore, Drew|Scream (1996)|1996|7.2 |1996-12-20|Horror;Mystery
Van Damme, Jean-Claude|Timecop (1994)|1994|5.8 |1994-09-16|Action;Crime;Sci-Fi;Thriller
Crystal, Billy|Monsters University (2013)|2013|7.4 |2013-06-21|Adventure;Animation;Comedy;Family;Fantasy
Black, Jack (I)|Be Kind Rewind (2008)|2008|6.4 |2008-02-22|Comedy;Drama
Smith, Will (I)|Hitch (2005/I)|2005|6.7 |2005-02-11|Comedy;Romance
Clooney, George|The Monuments Men (2014)|2014|6.1 |2014-02-07|Drama;War
Stiller, Ben|Madagascar 3: Europe's Most Wanted (2012)|2012|7.0 |2012-06-08|Adventure;Animation;Comedy;Family
Field, Sally|Back Roads (1981)|1981|5.5 |1981-03-13|Adventure;Comedy;Romance
Nicholson, Jack (I)|Blood and Wine (1996)|1996|6.1 |1997-02-21|Crime;Drama;Thriller
Hackman, Gene|Hoosiers (1986)|1986|7.6 |1987-02-27|Drama;Sport
Jovovich, Milla|Ultraviolet (2006)|2006|4.4 |2006-03-03|Action;Sci-Fi
Russell, Kurt (I)|Grindhouse (2007)|2007|7.7 |2007-04-06|Action;Horror;Thriller
Stiller, Ben|Night at the Museum (2006)|2006|6.4 |2006-12-22|Action;Adventure;Comedy;Family;Fantasy
Aykroyd, Dan|My Stepmother Is an Alien (1988)|1988|5.2 |1988-12-09|Comedy;Romance;Sci-Fi
Weller, Peter (I)|The New Age (1994)|1994|5.7 |1994-09-16|Comedy;Drama
Kline, Kevin (I)|A Midsummer Night's Dream (1999)|1999|6.5 |1999-05-14|Comedy;Fantasy;Romance
Allen, Tim (I)|Christmas with the Kranks (2004)|2004|5.1 |2004-11-24|Comedy;Family
Broderick, Matthew (I)|Election (1999)|1999|7.3 |1999-05-07|Comedy;Drama
Yamadera, Kôichi|Short Peace (2013)|2013|7.0 |2014-04-18|Animation;Fantasy;Sci-Fi
Kosugi, Shô|Black Eagle (1988)|1988|3.6 |1988-05-01|Action;Drama
Swayze, Patrick|Next of Kin (1989)|1989|5.6 |1989-10-20|Action;Crime;Thriller
Goldberg, Whoopi|Burglar (1987)|1987|4.9 |1987-03-20|Comedy;Crime
Cube, Ice|Friday After Next (2002)|2002|5.8 |2002-11-22|Comedy;Drama
Fraser, Brendan|Blast from the Past (1999)|1999|6.5 |1999-02-12|Comedy;Drama;Romance;Sci-Fi
Atsumi, Kiyoshi|Otoko wa tsurai yo: Torajiro haibisukasu no hana (1980)|1980|7.1 |1980-12-26|Comedy
Baker, Joe Don|Speedtrap (1977)|1977|5.4 |1978-04-01|Action;Crime;Drama
Brody, Adrien|Splice (2009)|2009|5.8 |2010-06-04|Horror;Sci-Fi
Travolta, John (I)|Bolt (2008)|2008|6.9 |2008-11-21|Adventure;Animation;Comedy;Family
Pearce, Guy (I)|Deux frères (2004)|2004|7.1 |2004-06-25|Adventure;Drama;Family
Connery, Sean|The Man Who Would Be King (1975)|1975|7.9 |1975-12-17|Adventure
Schwarzenegger, Arnold|Commando (1985)|1985|6.7 |1985-10-04|Action;Adventure;Thriller
Guttenberg, Steve|The Bedroom Window (1987)|1987|6.3 |1987-01-16|Crime;Mystery;Thriller
Chong, Billy|Wu long tian shi zhao ji gui (1981)|1981|5.2 |1982-01-01|Action;Comedy;Horror
MacLaine, Shirley|Gambit (1966)|1966|7.1 |1967-01-07|Comedy;Crime;Thriller
Reynolds, Ryan (I)|Green Lantern (2011)|2011|5.7 |2011-06-17|Action;Adventure;Romance;Sci-Fi;Thriller
Bachchan, Amitabh|Black (2005)|2005|8.3 |2005-02-04|Drama
Price, Vincent (I)|Theater of Blood (1973)|1973|7.2 |1973-04-05|Comedy;Horror
Price, Vincent (I)|Scream and Scream Again (1970)|1970|5.7 |1970-02-13|Crime;Horror;Mystery;Sci-Fi;Thriller
Hawn, Goldie|Protocol (1984)|1984|5.4 |1984-12-21|Comedy
Chiranjeevi (I)|Annayya (2000)|2000|6.5 |2000-02-06|Action;Family
Murray, Bill (I)|What About Bob? (1991)|1991|7.0 |1991-05-17|Comedy
Vaughn, Vince|A Cool, Dry Place (1998)|1998|6.3 |1999-01-29|Drama
Nielsen, Leslie|The Naked Gun 2½: The Smell of Fear (1991)|1991|6.8 |1991-06-28|Comedy;Crime
Gibson, Mel (I)|Lethal Weapon 2 (1989)|1989|7.2 |1989-07-07|Action;Comedy;Crime;Thriller
Moore, Roger (I)|Gli esecutori (1976)|1976|4.9 |1976-09-17|Action;Crime;Drama
Weaver, Sigourney|Infamous (2006)|2006|7.1 |2006-10-13|Biography;Crime;Drama
Nicholson, Jack (I)|Chinatown (1974)|1974|8.3 |1974-06-20|Drama;Mystery;Thriller
Kumar, Akshay (I)|Kambakkht Ishq (2009)|2009|3.8 |2009-07-03|Action;Comedy;Romance
Lee, Christopher (I)|Dracula père et fils (1976)|1976|5.4 |1979-05-01|Comedy;Horror
Seagal, Steven|Hard to Kill (1990)|1990|5.7 |1990-02-09|Action;Crime;Drama;Thriller
Duchovny, David|The X Files: I Want to Believe (2008)|2008|5.9 |2008-07-25|Drama;Mystery;Sci-Fi;Thriller
Johnson, Dwayne (I)|Faster (2010)|2010|6.5 |2010-11-24|Action;Crime;Drama;Thriller
Fox, Michael J. (I)|Atlantis: The Lost Empire (2001)|2001|6.8 |2001-06-15|Action;Adventure;Animation;Family;Fantasy;Sci-Fi
Lundgren, Dolph|Skin Trade (2014)|2014|5.8 |2015-05-08|Action;Crime;Thriller
Allen, Woody|Small Time Crooks (2000)|2000|6.7 |2000-05-19|Comedy;Crime
Bridges, Jeff (I)|Stick It (2006)|2006|6.4 |2006-04-28|Comedy;Drama;Sport
Washington, Denzel|The Hurricane (1999)|1999|7.6 |2000-01-14|Biography;Drama;Sport
Cube, Ice|Friday (1995)|1995|7.3 |1995-04-26|Comedy;Drama
McDowall, Roddy|Fright Night Part 2 (1988)|1988|5.8 |1989-05-19|Comedy;Horror;Thriller
Depp, Johnny|Arizona Dream (1992)|1992|7.4 |1994-09-09|Comedy;Drama;Fantasy;Romance
Trejo, Danny|Bad Asses on the Bayou (2015)|2015|5.3 |2015-03-06|Action;Drama
Urban, Karl|Dredd (2012)|2012|7.0 |2012-09-21|Action;Sci-Fi
Takashima, Tadao|Kingu Kongu tai Gojira (1962)|1962|5.9 |1963-06-26|Action;Adventure;Comedy;Sci-Fi
MacLaine, Shirley|A Change of Seasons (1980)|1980|5.1 |1980-12-01|Comedy;Drama
Allen, Tim (I)|The Santa Clause 2 (2002)|2002|5.5 |2002-11-01|Comedy;Family;Fantasy
Guttenberg, Steve|Police Academy 4: Citizens on Patrol (1987)|1987|4.7 |1987-04-03|Comedy;Crime
Washington, Denzel|Fallen (1998)|1998|7.0 |1998-01-16|Action;Crime;Drama;Fantasy;Thriller
Travolta, John (I)|Blow Out (1981)|1981|7.4 |1981-07-24|Drama;Mystery;Thriller
Pryor, Richard|Richard Pryor: Live and Smokin' (1971)|1971|6.6 |1971-04-29|Comedy;Documentary
Murray, Bill (I)|St. Vincent (2014)|2014|7.3 |2014-10-24|Comedy;Drama
Marin, Cheech|Cheech & Chong's The Corsican Brothers (1984)|1984|4.6 |1984-07-27|Comedy
Atsumi, Kiyoshi|Otoko wa tsurai yo: Torajirô shinjitsu ichiro (1984)|1984|7.0 |1985-05-01|Comedy;Romance
Fraser, Brendan|Looney Tunes: Back in Action (2003)|2003|5.7 |2003-11-14|Adventure;Animation;Comedy;Family;Fantasy
Diesel, Vin|xXx (2002)|2002|5.8 |2002-08-09|Action;Adventure;Thriller
Williams, Robin (I)|Club Paradise (1986)|1986|4.8 |1986-07-11|Comedy
Wahlberg, Mark (I)|Lone Survivor (2013)|2013|7.6 |2014-01-10|Action;Biography;Drama;Thriller;War
Eastwood, Clint|The Enforcer (1976)|1976|6.8 |1976-12-22|Action;Crime;Thriller
Roberts, Eric (I)|Blood Red (1989)|1989|2.9 |1989-08-18|Drama;Romance;Western
Depp, Johnny|The Lone Ranger (2013)|2013|6.5 |2013-07-03|Action;Adventure;Western
Gruner, Olivier|Re-Generator (2010)|2010|3.1 |2010-01-23|Action;Sci-Fi
Johnson, Dwayne (I)|G.I. Joe: Retaliation (2013)|2013|5.8 |2013-03-28|Action;Adventure;Sci-Fi;Thriller
Gyllenhaal, Jake|Nightcrawler (2014)|2014|7.9 |2014-10-31|Action;Crime;Thriller
Hawn, Goldie|Foul Play (1978)|1978|6.8 |1978-07-14|Comedy;Mystery;Thriller
Beatty, Warren (I)|Love Affair (1994)|1994|5.8 |1994-10-21|Comedy;Drama
Caine, Michael (I)|The Magus (1968)|1968|5.9 |1968-12-10|Drama;Fantasy;Mystery
Nicholson, Jack (I)|The King of Marvin Gardens (1972)|1972|6.6 |1972-10-12|Drama
Washington, Denzel|Mississippi Masala (1991)|1991|6.6 |1992-02-05|Drama;Romance
Crowe, Russell|The Crossing (1990)|1990|5.6 |1990-10-18|Drama;Romance
Reynolds, Burt (I)|Rough Cut (1980)|1980|5.6 |1980-06-19|Adventure;Comedy;Crime;Mystery;Romance
