name|title|year|rank|releasedate|agg_genres
Connery, Sean|From Russia with Love (1963)|1963|7.5 |1964-05-27|Action;Adventure;Thriller
Quaid, Dennis|Tough Enough (1983)|1983|5.5 |1983-05-20|Action;Drama;Romance;Sport
Chiba, Shin'ichi|Chokugeki! Jigoku-ken (1974)|1974|7.1 |1978-01-01|Action
Grant, Hugh (I)|Music and Lyrics (2007)|2007|6.5 |2007-02-14|Comedy;Music;Romance
Bale, Christian|American Hustle (2013)|2013|7.3 |2013-12-20|Crime;Drama
Cube, Ice|Next Friday (2000)|2000|6.0 |2000-01-12|Comedy
Matsumoto, Rica|Gekijô-ban poketto monsutâ: Maboroshi no pokemon: Rugia bakutan (1999)|1999|5.8 |2000-07-21|Action;Adventure;Animation;Family;Fantasy
Stallone, Sylvester|Paradise Alley (1978)|1978|5.8 |1978-09-22|Drama
Eastwood, Clint|Pink Cadillac (1989)|1989|5.2 |1989-05-26|Action;Comedy;Crime;Drama
Douglas, Michael (I)|The Star Chamber (1983)|1983|6.3 |1983-08-05|Drama;Mystery;Thriller
Cage, Nicolas|Next (2007)|2007|6.2 |2007-04-27|Action;Sci-Fi;Thriller
Connery, Sean|Diamonds Are Forever (1971)|1971|6.7 |1971-12-17|Action;Adventure;Thriller
Streep, Meryl|August: Osage County (2013)|2013|7.3 |2014-01-10|Drama
Crowe, Russell|Master and Commander: The Far Side of the World (2003)|2003|7.4 |2003-11-14|Action;Adventure;Drama;War
Snipes, Wesley|Passenger 57 (1992)|1992|5.8 |1992-11-06|Action;Crime;Thriller
Jones, Tommy Lee|U.S. Marshals (1998)|1998|6.5 |1998-03-06|Action;Crime;Thriller
Swayze, Patrick|Red Dawn (1984)|1984|6.3 |1984-08-10|Action;Drama;War
Liotta, Ray|Slow Burn (2005)|2005|5.9 |2007-04-13|Drama;Mystery;Thriller
Falk, Peter (I)|...All the Marbles (1981)|1981|6.3 |1981-10-16|Comedy;Drama;Sport
Estevez, Emilio|Young Guns (1988)|1988|6.8 |1988-08-12|Action;Crime;Drama;Thriller;Western
Chiba, Shin'ichi|Shôrinji kenpô (1976)|1976|6.7 |1976-02-01|Action;Drama
Rothschild, Michaela|Alone (2010/X)|2010|7.3 |2010-10-15|Sci-Fi;Short
Baker, Joe Don|Golden Needles (1974)|1974|5.0 |1974-07-17|Action
Cage, Nicolas|Wild at Heart (1990)|1990|7.3 |1990-08-17|Comedy;Crime;Thriller
Grant, Hugh (I)|About a Boy (2002)|2002|7.1 |2002-05-17|Comedy;Drama;Romance
Long, Shelley|The Brady Bunch Movie (1995)|1995|5.9 |1995-02-17|Comedy
Hanks, Tom|Extremely Loud & Incredibly Close (2011)|2011|6.9 |2012-01-20|Adventure;Drama;Mystery
Price, Vincent (I)|The Tingler (1959)|1959|6.7 |1959-07-29|Horror
Cage, Nicolas|8MM (1999)|1999|6.5 |1999-02-26|Crime;Drama;Mystery;Thriller
Gibson, Mel (I)|Signs (2002)|2002|6.7 |2002-08-02|Drama;Sci-Fi;Thriller
Cage, Nicolas|Ghost Rider: Spirit of Vengeance (2011)|2011|4.3 |2012-02-17|Action;Fantasy;Thriller
MacLaine, Shirley|Guarding Tess (1994)|1994|6.1 |1994-03-11|Comedy;Drama
O'Keeffe, Miles|Phantom Raiders (1988)|1988|4.4 |1988-07-25|Action
Mitchell, Cameron (I)|Face of Fire (1959)|1959|6.8 |1959-08-09|Drama
Jones, Tommy Lee|Rules of Engagement (2000)|2000|6.4 |2000-04-07|Action;Drama;War
Stallone, Sylvester|Judge Dredd (1995)|1995|5.4 |1995-06-30|Action;Crime;Sci-Fi;Thriller
Pryor, Richard|Brewster's Millions (1985)|1985|6.4 |1985-05-22|Comedy
Connery, Sean|Finding Forrester (2000)|2000|7.3 |2001-01-12|Drama
Damon, Matt|Titan A.E. (2000)|2000|6.6 |2000-06-16|Action;Adventure;Animation;Family;Sci-Fi
Walken, Christopher|The Dead Zone (1983)|1983|7.3 |1983-10-21|Horror;Sci-Fi;Thriller
Bridges, Jeff (I)|Bad Company (1972)|1972|7.1 |1972-10-08|Drama;Western
Williams, Robin (I)|Being Human (1994)|1994|5.3 |1994-05-06|Comedy;Drama
Atsumi, Kiyoshi|Kinema no tenchi (1986)|1986|6.9 |1986-08-02|Drama
Slater, Christian (I)|Hatfields and McCoys: Bad Blood (2012)|2012|3.9 |2012-06-05|Drama;History
Fahey, Jeff|Hatfields and McCoys: Bad Blood (2012)|2012|3.9 |2012-06-05|Drama;History
Eastwood, Clint|Bronco Billy (1980)|1980|6.0 |1980-06-11|Action;Adventure;Comedy;Drama;Romance;Western
Li, Jet (I)|Kiss of the Dragon (2001)|2001|6.6 |2001-07-06|Action;Crime;Drama;Thriller
Aykroyd, Dan|Yogi Bear (2010)|2010|4.5 |2010-12-17|Adventure;Animation;Comedy;Family
De Niro, Robert|Midnight Run (1988)|1988|7.6 |1988-07-20|Action;Comedy;Crime;Thriller
Depp, Johnny|Mortdecai (2015)|2015|5.5 |2015-01-23|Action;Comedy;Mystery;Romance
Stewart, Patrick (I)|Star Trek: Generations (1994)|1994|6.6 |1994-11-18|Action;Adventure;Mystery;Sci-Fi;Thriller
Price, Vincent (I)|The Haunted Palace (1963)|1963|6.8 |1963-08-28|Horror
Estevez, Emilio|The Mighty Ducks (1992)|1992|6.4 |1992-10-02|Action;Comedy;Drama;Family;Sport
Sandler, Adam (I)|Happy Gilmore (1996)|1996|7.0 |1996-02-16|Comedy;Sport
Diaz, Cameron|There's Something About Mary (1998)|1998|7.1 |1998-07-15|Comedy;Romance
Hill, Terence (I)|Lo chiamavano Trinità... (1970)|1970|7.4 |1971-11-04|Comedy;Western
Saxon, John|Moonshine County Express (1977)|1977|5.8 |1977-06-01|Action;Crime;Drama
McGregor, Ewan|Star Wars: Episode II - Attack of the Clones (2002)|2002|6.7 |2002-05-16|Action;Adventure;Fantasy;Sci-Fi
Diaz, Cameron|The Other Woman (2014)|2014|6.0 |2014-04-25|Comedy;Romance
Matthau, Walter|Kotch (1971)|1971|6.8 |1971-09-17|Comedy;Drama
Guttenberg, Steve|The Big Green (1995)|1995|5.4 |1995-09-29|Comedy;Family;Sport
Wahlberg, Mark (I)|Transformers: Age of Extinction (2014)|2014|5.8 |2014-06-27|Action;Adventure;Sci-Fi
Streisand, Barbra (I)|Nuts (1987)|1987|6.8 |1987-12-11|Drama;Thriller
Martin, Steve (I)|Dirty Rotten Scoundrels (1988)|1988|7.3 |1988-12-14|Comedy;Crime
Hawke, Ethan|Gattaca (1997)|1997|7.8 |1997-10-24|Drama;Sci-Fi;Thriller
Owen, Clive (I)|Beat the Devil (2002)|2002|7.5 |2002-11-21|Action;Adventure;Comedy;Short
McGregor, Ewan|Son of a Gun (2014)|2014|6.5 |2015-01-16|Action;Crime;Drama;Thriller
Washington, Denzel|Inside Man (2006)|2006|7.6 |2006-03-24|Crime;Drama;Mystery;Thriller
Li, Bruce (I)|Bu ze shou duan (1978)|1978|5.5 |1980-01-01|Action;Drama
Cordero, Joaquín|El terrible gigante de las nieves (1963)|1963|3.4 |1965-01-01|Horror;Sci-Fi
Ferrell, Will (I)|Talladega Nights: The Ballad of Ricky Bobby (2006)|2006|6.5 |2006-08-04|Action;Comedy;Sport
Damon, Matt|The Bourne Supremacy (2004)|2004|7.8 |2004-07-23|Action;Thriller
Clooney, George|Ocean's Thirteen (2007)|2007|6.9 |2007-06-08|Crime;Thriller
Streep, Meryl|The Devil Wears Prada (2006)|2006|6.8 |2006-06-30|Comedy;Drama;Romance
Stiller, Ben|Night at the Museum: Secret of the Tomb (2014)|2014|6.3 |2014-12-19|Adventure;Comedy;Family;Fantasy
Belushi, James|Real Men (1987)|1987|6.2 |1987-09-25|Action;Comedy;Sci-Fi
Fahey, Jeff|Body Parts (1991)|1991|5.4 |1991-08-02|Horror;Thriller
Jones, Tommy Lee|The River Rat (1984)|1984|6.3 |1984-09-28|Adventure;Crime;Drama
Spade, David|The Emperor's New Groove (2000)|2000|7.3 |2000-12-15|Adventure;Animation;Comedy;Family;Fantasy
Chase, Chevy|Memoirs of an Invisible Man (1992)|1992|5.9 |1992-02-28|Comedy;Romance;Sci-Fi;Thriller
Wilson, Owen (I)|The Darjeeling Limited (2007)|2007|7.2 |2007-10-26|Adventure;Comedy;Drama
Willis, Bruce|Bandits (2001)|2001|6.6 |2001-10-12|Comedy;Crime;Drama;Romance
Sheen, Charlie|Cadence (1990)|1990|6.5 |1991-02-15|Drama
Garner, James (I)|Marlowe (1969)|1969|6.4 |1969-10-31|Crime;Drama;Mystery
McDowall, Roddy|GoBots: Battle of the Rock Lords (1986)|1986|5.6 |1986-03-21|Animation
Carradine, David|Death Race 2000 (1975)|1975|6.2 |1975-04-27|Action;Comedy;Sci-Fi;Sport
Walken, Christopher|Puss in Boots (1988)|1988|6.2 |1988-06-10|Family;Fantasy;Musical
Duchovny, David|Evolution (2001)|2001|6.0 |2001-06-08|Comedy;Sci-Fi
Neeson, Liam|Ethan Frome (1993)|1993|6.3 |1993-03-12|Drama;Romance
Butler, Gerard|The Phantom of the Opera (2004)|2004|7.4 |2004-12-22|Drama;Musical;Romance;Thriller
Baldwin, A. Michael|Phantasm (1979)|1979|6.9 |1979-03-28|Horror;Sci-Fi
Depardieu, Gérard|Le retour de Martin Guerre (1982)|1982|7.4 |1983-06-10|Biography;Crime;Drama;History;Mystery;Romance
Akkineni, Nagarjuna|Damarukam (2012)|2012|5.3 |2012-11-22|Action;Drama;Fantasy
Shatner, William|Shoot or Be Shot (2002)|2002|5.0 |2002-01-25|Comedy
Reynolds, Burt (I)|Physical Evidence (1989)|1989|5.0 |1989-01-27|Crime;Mystery;Romance;Thriller
James, Sidney (II)|Don't Lose Your Head (1966)|1966|6.5 |1967-12-14|Action;Adventure;Comedy
Nozawa, Masako|Doragon bôru Z: Kami to kami (2013)|2013|7.3 |2014-08-05|Action;Animation;Comedy;Fantasy;Sci-Fi
Chase, Chevy|Goose on the Loose (2006)|2006|5.0 |2011-01-01|Comedy;Family
De Niro, Robert|Analyze That (2002)|2002|5.9 |2002-12-06|Comedy;Crime
Depp, Johnny|Edward Scissorhands (1990)|1990|8.0 |1990-12-14|Drama;Fantasy;Romance
Depardieu, Gérard|1492: Conquest of Paradise (1992)|1992|6.5 |1992-10-09|Adventure;Biography;Drama;History
Arkin, Alan|Simon (1980)|1980|6.2 |1980-02-01|Comedy;Sci-Fi
McClure, Doug (I)|Warlords of Atlantis (1978)|1978|5.7 |1978-05-01|Adventure;Fantasy;Sci-Fi
Stockwell, John (I)|Radioactive Dreams (1985)|1985|6.3 |1986-09-19|Action;Adventure;Comedy;Music;Sci-Fi
Jones, Tommy Lee|Man of the House (2005/I)|2005|5.4 |2005-02-25|Action;Comedy
Cube, Ice|The Longshots (2008)|2008|5.1 |2008-08-22|Biography;Comedy;Drama;Family;Sport
Streisand, Barbra (I)|The Guilt Trip (2012)|2012|5.8 |2012-12-19|Comedy;Drama
Willis, Bruce|Hostage (2005)|2005|6.6 |2005-03-11|Crime;Drama;Mystery;Thriller
Willis, Bruce|Die Hard: With a Vengeance (1995)|1995|7.6 |1995-05-19|Action;Adventure;Thriller
Gibson, Mel (I)|Bird on a Wire (1990)|1990|5.8 |1990-05-18|Action;Comedy;Romance;Thriller
Connery, Sean|Zardoz (1974)|1974|5.8 |1974-02-06|Drama;Fantasy;Sci-Fi
Mitchell, Cameron (I)|Inside the Mafia (1959)|1959|5.3 |1959-09-01|Crime;Drama
Heston, Charlton (I)|Planet of the Apes (1968)|1968|8.0 |1968-04-03|Adventure;Sci-Fi
Grant, Hugh (I)|Mickey Blue Eyes (1999)|1999|5.8 |1999-08-20|Comedy;Crime;Romance
Keaton, Michael|Noah (2012/III)|2012|5.8 |2012-01-01|Animation
Diesel, Vin|Fast Five (2011)|2011|7.4 |2011-04-29|Action;Crime;Thriller
Kumar, Akshay (I)|De Dana Dan (2009)|2009|4.9 |2009-11-27|Comedy
Sheen, Charlie|Shadow Conspiracy (1997)|1997|4.9 |1997-01-31|Action;Thriller
Coburn, James (I)|The Internecine Project (1974)|1974|6.2 |1974-07-24|Action;Thriller
