movieid;actorid;as_character
2497495;413468;[Jake Lonergan]  <1>
2742661;413468;[Perry Smith]  <8>
2832903;413468;[XXXX]  <1>
3281518;413468;[Sgt. Botha]  <44>
2314346;421790;[Max Skinner]  <3>
2477808;421790;[Jim Braddock]  <1>
2660285;421790;[Maximus]  <1>
2808215;421790;[Bud White]  <2>
2896702;421790;[Capt. Jack Aubrey]  <1>
2962793;421790;[FBI Agent Zack Grant]  <1>
3043918;421790;[Andy]  <3>
3043936;421790;[Terry Thorne]  <2>
3224237;421790;[Johnny]  <1>
3266458;421790;[Jack Knife]  <3>
3273489;421790;[John Brennan]  <1>
2312768;422552;[Lt. Daniel Kaffee]  <1>
2432778;422552;[Ron Kovic]  <1>
2483833;422552;[Brian Flanagan]  <1>
2747600;422552;[Lestat de Lioncourt]  <5>
2756153;422552;[Reacher]  <1>
2842830;422552;[Jack]  <1>
2867592;422552;[Woody]  <1>
2917440;422552;[Ethan Hunt]  <1>
2917446;422552;[Ethan Hunt]  <1>
2917448;422552;[Himself]
2917451;422552;[Ethan Hunt]  <1>
3221561;422552;[Vincent Lauria]  <2>
3276804;422552;[Steve Randle]  <7>
2360853;468868;[Paul Vitti]  <1>
2363339;468868;[Louis Cyphre]  <2>
2385397;468868;[Leonard Lowe]  <1>
2436308;468868;[Harry Tuttle]  <2>
2663114;468868;[Richard Wells]  <3>
2666668;468868;[James Conway]  <1>
2672778;468868;[Billy 'The Kid' McDonnen]  <3>
2705258;468868;[Himself]
2756792;468868;(as Robert DeNiro in opening credits)  [Megs]  <1>
2844072;468868;(archive footage)  [Himself]
2858803;468868;[Jack Byrnes]  <1>
2880351;468868;[Wayne 'Mad Dog' Dobie]  <1>
2900851;468868;[Johnny Boy]  <1>
2902197;468868;[Jack Byrnes]  <1>
2905301;468868;[Master Chief Billy Sunday]  <1>
2911018;468868;[Jack Walsh]  <1>
2954753;468868;[Stan Harris - Hospital Story]  <8>
2968295;468868;[Alfredo Berlinghieri]  <1>
3055930;468868;[Jake La Motta]  <1>
3094774;468868;[Sam Nicoletti]  <1>
3127390;468868;[Det. Mitch Preston]  <1>
3138403;468868;[Father Bobby]  <3>
3257864;468868;[Monroe Stahr]  <1>
2319486;489296;[Glen Lantz]  <6>
2346249;489296;[Mad Hatter]  <1>
2447932;489296;[Himself]
2473931;489296;[Roux]  <23>
2502225;489296;[Cry-Baby]  <1>
2622619;489296;[Sir James Matthew Barrie]  <1>
2665503;489296;[Himself - Narrator]  <2>
2748263;489296;[Wolf]  <13>
2756262;489296;(uncredited)  [Johnny Depp]
3023221;489296;[Jack Sparrow]  <1>
3023227;489296;[Jack Sparrow]  <1>
3023231;489296;[Jack Sparrow]  <1>
3041461;489296;[Jack]  <2>
3045878;489296;[John Dillinger]  <5>
3053878;489296;[Vinnie Dooler]  <2>
3053878;489296;[Vinnie Dooler]  <2>
3055513;489296;[Himself]
3108534;489296;[Mort Rainey]  <1>
3138691;489296;[Ichabod Crane]  <1>
3261390;489296;[Tonto]  <1>
3303849;489296;[Frank Tupelo]  <1>
3348087;489296;(as Guy Lapointe)  [Guy Lapointe]  <5>
3400669;489296;[Gilbert Grape]  <1>
3402929;489296;[Himself]  <9>
2317279;503208;[Sean Vetter]  <1>
2385397;503208;(uncredited)  [Hospital Orderly]
2429359;503208;[Chris Varick]  <2>
2644454;503208;[Dominic Toretto]  <1>
2793235;503208;[Taylor Reese]  <4>
3235134;503208;(uncredited)  [Dominic Toretto]
3276985;503208;[Shane Wolfe]  <1>
3436372;503208;[Xander Cage]  <1>
2309448;524626;[Zach]  <6>
2335063;524626;[Adam Gaines]  <1>
2398445;524626;[Detective Nick Curran]  <1>
2551416;524626;[Tom Sanders]  <1>
2611129;524626;[William 'D-Fens' Foster]  <1>
2687418;524626;[Alex Coblenz]  <5>
2719837;524626;(archive footage) (uncredited)
2790910;524626;(uncredited)  [Himself]
3310056;524626;[Oliver Rose]  <1>
3390146;524626;[Gordon Gekko]  <3>
2314542;526366;[Dito]  <2>
2322299;526366;[James Barris]  <2>
2341503;526366;[Billy]  <2>
2465732;526366;[Alex Finch]  <2>
2467228;526366;[Nathan Gardner]  <2>
2791258;526366;[Harry Lockhart]  <1>
3241111;526366;[Clyde Pell]  <3>
3250964;526366;(uncredited)  [Tony Stark]
3293081;526366;[Dr. Kozak]  <6>
3295991;526366;[Steve Lopez]  <2>
3344337;526366;[Roger Baron]  <2>
3346521;526366;(as Robert Downey)  [Jimmy Parker]  <6>
3349877;526366;[Blake]  <5>
3352288;526366;[Special Agent John Royce]  <3>
2341503;535188;(uncredited)  [General Lee]
3075273;535188;[Rusty]  <14>
3184527;535188;(as Michael J. Dudikoff II)  [Conscript #2]  <24>
2385481;551291;(uncredited)  [Corpsman]
2558326;551291;(voice)  [Narrator]
2598795;551291;(uncredited)  [Dumbo Pilot]
2635987;551291;[Jonesey]  <5>
2689683;551291;[Highway]  <1>
2739853;551291;[Frank Horrigan]  <1>
2840177;551291;[Carlo (Segment "Sera Come Le Altre, Una")]  <19>
2912667;551291;[Himself]
3014530;551291;[Monco]  <1>
3014562;551291;[Joe]  <1>
3152062;551291;[Frank Corvin]  <1>
3190692;551291;(uncredited)  [Jet Squadron Leader]
3226557;551291;[Harry Callahan]  <1>
3405891;562311;[Candy Bernardino]  <2>
2507157;583505;[Coach Gordon Bombay]  <1>
2638119;583505;[Alex Furlong]  <1>
2905199;583505;[James St. James]  <2>
2917440;583505;(uncredited)  [Jack Harmon]
3158325;583505;[Kirby Keger]  <1>
3199202;583505;[Johnny Collins]  <8>
3276804;583505;[Two-Bit Matthews]  <6>
2428919;592204;[Bill Chrushank]  <1>
2461620;592204;[Jack Doyle]  <2>
2573777;592204;[Wes Coast]  <3>
2736120;592204;[Stan]  <2>
3344345;592204;[Raymond Trueblood]  <1>
2464134;635096;[Rodney]  <6>
2550924;635096;[Larry]  <1>
2645094;635096;[Chuck Browning]  <1>
2656037;635096;[Mephistopheles]  <4>
2698892;635096;[Rane]  <1>
2705258;635096;(archive footage)  [Wyatt]
2856234;635096;[Stephen Evshevsky]  <3>
2989223;635096;[Ken]  <1>
2996382;635096;[Bobby Ogden]  <1>
3247916;635096;[Harry Collings]  <1>
3289233;635096;(uncredited)
3305123;635096;[Seymour Bliss]  <4>
3312161;635096;[Heavenly Blues]  <1>
2341548;637490;[President James Marshall]  <1>
2380212;637490;(archive footage) (uncredited)  [Indiana Jones]
2422389;637490;[Rick Deckard]  <1>
2497495;637490;[Woodrow Dolarhyde]  <21>
2623911;637490;[Jack Stanfield]  <1>
2742024;637490;[Indiana Jones]  <1>
2860890;637490;[Narrator]
2912667;637490;[Himself]
3058182;637490;[Dutch Van Den Broeck]  <1>
3135227;637490;[Quinn Harris]  <1>
3160409;637490;[Han Solo]  <2>
3160498;637490;[Han Solo]  <2>
3239228;637490;[Dr. Richard Kimble]  <1>
3428957;637490;(uncredited)  [Arrested Student]
2402917;650940;[Elliot]  <1>
2568455;650940;[Dudley Do-Right]  <1>
2593327;650940;[Link]  <2>
2743830;650940;[Mo]  <1>
3164118;650940;[Fletcher McBracken]  <2>
3291032;650940;[Steve Nebraska]  <2>
2341503;707527;[Gene]  <1>
2381128;707527;[Captain P.G. (Paul) Kelly]  <2>
2615508;707527;(uncredited)  [Scott the Body Piercer]
2647506;707527;[Frank Dunne]  <8>
2680294;707527;[Hamlet]  <1>
2850797;707527;[Martin Riggs]  <1>
2879851;707527;[Voz]  <2>
2880412;707527;[Max]  <1>
3003387;707527;(uncredited)  [Anger Management Therapy Patient]
3130309;707527;[Rev. Graham Hess]  <1>
3288051;707527;[Tom Garvey]  <1>
3314895;707527;[Guy Hamilton]  <1>
3395202;707527;[Lt. Col. Hal Moore]  <1>
2487929;714121;[Sgt. Dink Mobley]  <6>
2872782;714121;[Joe Bodek]  <3>
3203024;714121;[Don Tucker]  <1>
3320907;714121;[Elliot Cromwell]  <1>
2312768;734150;[Cpl. Carl Hammaker]  <16>
2426330;734150;(uncredited)  [Bomb Squad Class Member]
2427916;734150;[Jerry Robinson]  <1>
2637929;734150;[Samuel]  <1>
2706707;734150;(voice)  [Buck]  <11>
2879851;734150;[El Camaleón 2]  <11>
2905301;734150;[Chief Carl Brashear]  <2>
3055248;734150;[Radio]  <1>
3059344;734150;[Owen Templeton]  <3>
3091277;734150;[John Hebron]  <1>
2316895;784708;[Himself]
2404190;784708;[Admiral Leslie McMahon Reigart]  <2>
2489194;784708;[Sam Boyd]  <1>
2687001;784708;[Dr. John Whipple]  <4>
2691453;784708;[Joe Moore]  <1>
2856234;784708;[Norman]  <7>
2917552;784708;[Agent Rupert Anderson]  <1>
2947346;784708;[Robert Caulfield]  <1>
3035224;784708;[Wilfred Buckley]  <3>
3087037;784708;[Rankin Fitch]  <2>
3176567;784708;(voice)  [Lex Luthor/Nuclear Man]  <2>
3276995;784708;[Sgt. Johnny Gallagher]  <1>
3281237;784708;[Reverend Scott]  <1>
3289342;784708;[Royal Tenenbaum]  <1>
