movieid;title;year;rank;releasedate
2560727;Dosti: Friends Forever (2005);2005;5.6 ;2005-12-23
2716744;Humko Deewana Kar Gaye (2006);2006;5.2 ;2006-04-14
2932196;Mujhse Shaadi Karogi (2004);2004;6.7 ;2004-07-30
2336265;Adrenalin: Fear the Rush (1996);1996;3.8 ;1996-11-29
2674874;Gunmen (1993);1993;5.2 ;1994-02-04
2856825;Limousine (2008);2008;5.4 ;2008-11-01
2324846;A Thin Line Between Love and Hate (1996);1996;5.5 ;1996-04-03
2414571;Big Momma's House (2000);2000;5.0 ;2000-06-02
3396786;Welcome Home, Roscoe Jenkins (2008);2008;5.2 ;2008-02-08
3425225;You So Crazy (1994);1994;6.6 ;1994-04-27
2507947;Da mo tie zhi gong (1977);1977;6.2 ;1978-06-01
2765086;Jing wu men xu ji (1977);1977;6.1 ;1980-04-01
2837261;Le locataire (1976);1976;7.8 ;1976-06-11
2345908;Alias John Preston (1955);1955;5.9 ;1955-12-14
2401119;Bear Island (1979);1979;5.8 ;1980-08-01
2505099;Curse of the Crimson Altar (1968);1968;5.4 ;1970-04-15
2715979;Hugo (2011);2011;7.6 ;2011-11-23
2733346;Il trono di fuoco (1970);1970;5.2 ;1972-05-01
2733804;Ill Met by Moonlight (1957);1957;6.6 ;1958-07-01
2970471;Nutcracker Fantasy (1979);1979;6.3 ;1979-07-07
3091791;Safari 3000 (1982);1982;4.4 ;1982-05-01
3107423;Season of the Witch (2011);2011;5.4 ;2011-01-07
3138691;Sleepy Hollow (1999);1999;7.4 ;1999-11-19
3161247;Starship Invasions (1977);1977;4.0 ;1977-10-14
3224835;The Curse of Frankenstein (1957);1957;7.2 ;1957-06-25
3249185;The Hound of the Baskervilles (1959);1959;7.0 ;1959-07-03
3282605;The Private Life of Sherlock Holmes (1970);1970;7.2 ;1970-10-29
3333487;Top Secret (1952);1952;6.6 ;1953-09-03
2405055;Bei po (1977);1977;6.2 ;1978-10-01
2612509;Fan shan hu (1972);1972;5.1 ;1976-05-01
2765086;Jing wu men xu ji (1977);1977;6.1 ;1980-04-01
3063999;Red Scorpion (1988);1988;4.9 ;1989-04-21
3290059;The Saint (1997);1997;6.2 ;1997-04-04
3294742;The Sins of Rachel Cade (1961);1961;5.9 ;1961-04-02
3127390;Showtime (2002);2002;5.5 ;2002-03-15
3372455;Vampire in Brooklyn (1995);1995;4.4 ;1995-10-27
2326404;A Walk Among the Tombstones (2014);2014;6.5 ;2014-09-19
2473777;Chloe (2009);2009;6.3 ;2010-03-26
2480458;Clash of the Titans (2010);2010;5.8 ;2010-04-02
2869692;Love Actually (2003);2003;7.7 ;2003-11-14
2890410;Manny (2014/I);2014;7.3 ;2015-01-23
3226557;The Dead Pool (1988);1988;6.3 ;1988-07-13
3232518;The Endurance: Shackleton's Legendary Antarctic Expedition (2000);2000;7.9 ;2001-12-21
3312321;The Wildest Dream (2010);2010;7.3 ;2010-08-06
3416854;Wrath of the Titans (2012);2012;5.8 ;2012-03-30
2436756;Breaker! Breaker! (1977);1977;3.8 ;1977-04-01
3274677;The Octagon (1980);1980;5.0 ;1980-08-14
2535712;Derailed (2005/I);2005;6.6 ;2005-11-11
2710313;Hostage (2002);2002;7.3 ;2002-10-24
2613410;Far from Heaven (2002);2002;7.4 ;2003-01-10
2627037;Flesh and Bone (1993);1993;6.2 ;1993-11-05
3026319;Playing for Keeps (2012);2012;5.7 ;2012-12-07
3150438;Soul Surfer (2011);2011;7.1 ;2011-04-08
3211168;The Big Easy (1986);1986;6.6 ;1987-08-28
3261735;The Long Riders (1980);1980;7.1 ;1980-05-16
3273859;The Night the Lights Went Out in Georgia (1981);1981;5.9 ;1981-05-29
3360984;Undercover Blues (1993);1993;5.9 ;1993-09-10
2322299;A Scanner Darkly (2006);2006;7.1 ;2006-07-28
2722110;I Love You to Death (1990);1990;6.4 ;1990-04-06
2793157;Knock Knock (2015/I);2015;6.3 ;2015-10-09
3205319;The Animatrix (2003);2003;7.4 ;2003-06-03
3255790;The Lake House (2006);2006;6.8 ;2006-06-16
2880348;Mad Dog Time (1996);1996;5.5 ;1996-11-08
3261935;The Longest Yard (1974);1974;7.1 ;1974-08-30
2298737;2 Bedroom 1 Bath (2014);2014;5.5 ;2014-09-05
2314542;A Guide to Recognizing Your Saints (2006);2006;7.1 ;2006-10-13
2462747;Cecil B. DeMented (2000);2000;6.2 ;2000-09-01
2635370;Fractured (2015/II);2015;2.6 ;2015-04-17
2666040;Good Mourning, Lucille (2014);2014;7.2 ;2014-01-01
3005384;Paranormal Movie (2013);2013;2.2 ;2013-04-09
3018447;Phat Girlz (2006);2006;2.9 ;2006-04-07
3249266;The House Across the Street (2013);2013;3.6 ;2015-04-10
3398357;Westbrick Murders (2010);2010;2.7 ;2010-05-11
2432267;Border Lost (2008);2008;4.6 ;2008-01-01
2436707;Breakdown (1997/I);1997;6.9 ;1997-05-02
2752432;It Happened at the World's Fair (1963);1963;6.1 ;1963-04-03
3145116;Soldier (1998/I);1998;5.9 ;1998-10-23
3369223;Used Cars (1980);1980;6.8 ;1980-07-11
2485488;Collateral Damage (2002);2002;5.4 ;2002-02-08
2593327;Encino Man (1992);1992;5.6 ;1992-05-22
2912667;Milius (2013);2013;7.5 ;2014-01-11
3048103;Pursuit of Equality (2005);2005;6.3 ;2007-01-01
3063523;Red Heat (1988);1988;6.0 ;1988-06-17
2481312;Clementine (2004);2004;3.3 ;2004-12-14
2675544;Gutshot Straight (2014);2014;3.9 ;2014-12-02
2855943;Like Water (2011);2011;7.0 ;2012-06-01
3126027;Shoot or Be Shot (2002);2002;5.0 ;2002-01-25
3127390;Showtime (2002);2002;5.5 ;2002-03-15
3160256;Star Trek IV: The Voyage Home (1986);1986;7.3 ;1986-11-26
3160267;Star Trek V: The Final Frontier (1989);1989;5.4 ;1989-06-09
3160383;Star Trek: The Wrath of Khan (1982);1982;7.7 ;1982-06-04
3228266;The Devil's Rain (1975);1975;4.6 ;1975-07-01
3233692;The Explosive Generation (1961);1961;6.5 ;1961-10-01
2879851;Machete Kills (2013);2013;5.6 ;2013-10-11
2912667;Milius (2013);2013;7.5 ;2014-01-11
2922328;Money Talks (1997);1997;6.1 ;1997-08-22
3390146;Wall Street: Money Never Sleeps (2010);2010;6.3 ;2010-09-24
2905226;Men in Black II (2002);2002;6.1 ;2002-07-03
2422415;Blade: Trinity (2004);2004;5.9 ;2004-12-08
2922341;Money Train (1995);1995;5.5 ;1995-11-22
2357497;An Alan Smithee Film: Burn Hollywood Burn (1997);1997;3.5 ;1998-02-20
2378446;Assassins (1995);1995;6.3 ;1995-10-06
2444357;Bullet to the Head (2012);2012;5.7 ;2013-02-01
2453169;Cameraman: The Life and Work of Jack Cardiff (2010);2010;7.8 ;2011-05-13
2456075;Capone (1975);1975;5.7 ;1975-04-16
2505876;CyberWorld (2000);2000;6.6 ;2000-10-06
2624069;First Blood (1982);1982;7.7 ;1982-10-22
2844072;Lennon or McCartney (2014);2014;5.5 ;2014-12-12
2912667;Milius (2013);2013;7.5 ;2014-01-11
2997189;Over the Top (1987);1987;5.6 ;1987-02-13
3057722;Rambo (2008);2008;7.1 ;2008-01-25
3057735;Rambo: First Blood Part II (1985);1985;6.4 ;1985-05-22
3079851;Rocky (1976);1976;8.1 ;1976-12-03
3079874;Rocky II (1979);1979;7.1 ;1979-06-15
3157444;Spy Kids 3-D: Game Over (2003);2003;4.1 ;2003-07-25
2644454;Furious 6 (2013);2013;7.2 ;2013-05-24
2661880;Gnomeo & Juliet (2011);2011;6.0 ;2011-02-11
3208447;The Bank Job (2008);2008;7.3 ;2008-03-07
2661880;Gnomeo & Juliet (2011);2011;6.0 ;2011-02-11
2674874;Gunmen (1993);1993;5.2 ;1994-02-04
2843107;Legends of Oz: Dorothy's Return (2013);2013;5.7 ;2014-05-09
3160316;Star Trek: First Contact (1996);1996;7.6 ;1996-11-22
3171707;Suchîmubôi (2004);2004;6.9 ;2005-03-18
3408565;Wild Geese II (1985);1985;4.7 ;1985-10-18
2627755;Flirting with Disaster (1996);1996;6.8 ;1996-04-12
2711049;Hot Pursuit (1987);1987;5.8 ;1987-05-08
2711639;Hotel Gramercy Park (2008);2008;6.7 ;2008-04-26
2762557;Jerry Stahl Rides Dirty with Ben Stiller, Jason Schwartzman, Michael C. Hall & Flea (2013);2013;5.6 ;2013-08-22
2902197;Meet the Parents (2000);2000;7.0 ;2000-10-06
2957833;Night at the Museum (2006);2006;6.4 ;2006-12-22
2990740;Orange County (2002);2002;6.2 ;2002-01-11
3103671;School for Scoundrels (2006);2006;5.9 ;2006-09-29
3188685;Tall Tale (1995);1995;5.8 ;1995-03-24
2398427;Basic (2003);2003;6.5 ;2003-03-28
2464868;Chains of Gold (1991);1991;5.0 ;1991-09-15
2556899;Domestic Disturbance (2001);2001;5.5 ;2001-11-02
2909721;Michael (1996);1996;5.6 ;1996-12-25
3018516;Phenomenon (1996);1996;6.4 ;1996-07-03
3122023;She's So Lovely (1997);1997;5.9 ;1997-08-27
3200539;That's Dancing! (1985);1985;6.9 ;1985-01-18
3228266;The Devil's Rain (1975);1975;4.6 ;1975-07-01
2344744;Alcatraz Prison Escape: Deathbed Confession (2015);2015;6.7 ;2015-03-15
2411010;Beyond Justice (2014);2014;3.6 ;2014-10-14
2433938;Bound by Honor (1993);1993;7.9 ;1993-04-30
2468540;Chavez Cage of Glory (2013);2013;4.4 ;2013-09-13
2643483;Full Tilt Boogie (1997);1997;6.5 ;1998-07-31
2756500;Jack's Law (2006);2006;3.8 ;2016-05-05
2774169;Justin Time (2010);2010;3.9 ;2010-01-01
2879851;Machete Kills (2013);2013;5.6 ;2013-10-11
3013546;Penitentiary III (1987);1987;3.5 ;1987-09-04
3036776;Predators (2010);2010;6.4 ;2010-07-09
3135227;Six Days Seven Nights (1998);1998;5.7 ;1998-06-12
3157444;Spy Kids 3-D: Game Over (2003);2003;4.1 ;2003-07-25
3222619;The Contractor (2013/I);2013;3.8 ;2013-09-10
3227914;The Devil Inside (2010);2010;6.2 ;2010-01-01
3244999;The Grind (2009/II);2009;3.9 ;2009-09-22
3336452;Toxic (2008);2008;4.1 ;2008-07-08
3436372;xXx (2002);2002;5.8 ;2002-08-09
3433513;Zombie Hunter (2013);2013;3.5 ;2013-10-08
2643372;Full Love (2014);2014;8.2 ;2016-01-08
2793171;Knock Off (1998);1998;4.7 ;1998-09-04
2799660;Kung Fu Panda 2 (2011);2011;7.3 ;2011-05-26
3138691;Sleepy Hollow (1999);1999;7.4 ;1999-11-19
3161255;Starship Troopers 3: Marauder (2008);2008;4.4 ;2008-08-05
2863386;Lone Survivor (2013);2013;7.6 ;2014-01-10
2890410;Manny (2014/I);2014;7.3 ;2015-01-23
3000034;Pain & Gain (2013);2013;6.5 ;2013-04-26
3208843;The Basketball Diaries (1995);1995;7.3 ;1995-04-21
3340114;Traveller (1997);1997;6.2 ;1997-04-18
2644454;Furious 6 (2013);2013;7.2 ;2013-05-24
3026580;Pleasantville (1998);1998;7.5 ;1998-10-23
3373578;Varsity Blues (1999);1999;6.4 ;1999-01-15
2567780;Du bei chuan wang (1972);1972;7.0 ;1973-01-01
2502130;Cry Freedom (1987);1987;7.5 ;1987-11-06
2631712;For the Bible Tells Me So (2007);2007;7.9 ;2007-10-05
