movieid;title;year;rank;releasedate
3302396;The Thin Red Line (1998);1998;7.6 ;1999-01-15
2325921;A Very Harold & Kumar 3D Christmas (2011);2011;6.3 ;2011-11-04
2390281;Bad Asses on the Bayou (2015);2015;5.3 ;2015-03-06
2451203;Cage (1989);1989;4.7 ;1989-09-01
2557702;Don gato y su pandilla (2011);2011;4.8 ;2013-08-02
2630185;Food Stamps (2010);2010;5.2 ;2010-01-01
2742825;Inferno (1999/II);1999;5.0 ;1999-09-25
2808285;L.A. Slasher (2015);2015;6.7 ;2015-06-26
3066266;Reindeer Games (2000);2000;5.7 ;2000-02-25
3168909;Strike One (2014);2014;6.2 ;2015-01-01
2742825;Inferno (1999/II);1999;5.0 ;1999-09-25
3363599;Universal Soldier (1992);1992;5.9 ;1992-07-10
3300915;The Taking of Beverly Hills (1991);1991;4.7 ;1991-10-11
2440155;Broken City (2013);2013;6.2 ;2013-01-18
3079288;Rock Star (2001);2001;6.2 ;2001-09-07
3276260;The Other Guys (2010);2010;6.6 ;2010-08-06
3314850;The Yards (2000);2000;6.4 ;2000-10-27
3338679;Transformers: Age of Extinction (2014);2014;5.8 ;2014-06-27
2577222;Eight Below (2006);2006;7.3 ;2006-02-17
2853955;Life Makes Sense If You're Famous (2002);2002;6.9 ;2002-10-01
3187452;Takers (2010);2010;6.2 ;2010-08-27
2387387;Ba wang quan (1972);1972;6.9 ;1976-04-01
2567786;Du bi quan wang da po xue di zi (1976);1976;7.6 ;1977-02-01
2863970;Long hu dou (1970);1970;6.9 ;1973-06-01
2863978;Long hu jin hu (1973);1973;5.8 ;1981-04-01
3128635;Si da tian wang (1974);1974;6.6 ;1975-04-01
2500243;Crimson Tide (1995);1995;7.3 ;1995-05-12
2539751;Devil in a Blue Dress (1995);1995;6.7 ;1995-09-29
2689296;Heart Condition (1990);1990;5.5 ;1990-02-02
3213832;The Book of Eli (2010);2010;6.9 ;2010-01-15
3243846;The Great Debaters (2007);2007;7.6 ;2007-12-25
3052367;Quel maledetto treno blindato (1978);1978;6.6 ;1981-12-01
3321488;Three the Hard Way (1974);1974;6.4 ;1974-06-26
2614428;Fast Food Nation (2006);2006;6.3 ;2006-11-17
2645961;G.I. Joe: Retaliation (2013);2013;5.8 ;2013-03-28
2830590;Last Man Standing (1996);1996;6.4 ;1996-09-20
2874183;Lucky Number Slevin (2006);2006;7.8 ;2006-04-07
2926266;Mortal Thoughts (1991);1991;5.7 ;1991-04-19
3015223;Perfect Stranger (2007);2007;5.7 ;2007-04-13
3132514;Sin City (2005);2005;8.1 ;2005-04-01
3177815;Surrogates (2009);2009;6.3 ;2009-09-25
3254249;The Kid (2000);2000;6.0 ;2000-07-07
3378053;Vice (2015/II);2015;4.1 ;2015-01-16
3392030;Warren Ellis: Captured Ghosts (2011);2011;7.1 ;2011-01-01
2399160;Batman Forever (1995);1995;5.4 ;1995-06-16
3361047;Underdog Kids (2015);2015;4.1 ;2015-07-07
3029010;Poketto monsutâ: Pichû to Pikachû (2000);2000;6.2 ;2001-04-11
2657626;Ginga-tetsudo no yoru (1985);1985;7.3 ;1986-02-07
3027840;Pocket Monster: Pikachû no dokidoki kakurenbo (2001);2001;6.6 ;2002-10-11
2411905;Bhai (2013);2013;3.2 ;2013-10-24
3011394;Payanam (2011);2011;7.3 ;2011-02-11
2294361;1 - Nenokkadine (2014);2014;8.7 ;2014-01-10
2500083;Criminal Law (1988);1988;5.8 ;1989-04-28
3153991;Speedtrap (1977);1977;5.4 ;1978-04-01
3221863;The Commission (2003);2003;6.6 ;2007-06-09
3243534;The Grass Harp (1995);1995;7.2 ;1996-10-11
3276684;The Outfit (1973);1973;7.0 ;1973-10-01
3361174;Underneath (1995);1995;6.2 ;1995-04-28
3389939;Walking Tall (1973);1973;6.9 ;1973-02-22
2355246;American Psycho (2000);2000;7.6 ;2000-04-14
2955258;Newsies (1992);1992;6.9 ;1992-04-10
3273237;The New World (2005);2005;6.7 ;2006-01-20
2881761;Madonna: Truth or Dare (1991);1991;6.0 ;1991-05-24
2984429;Once Upon a Time in Mexico (2003);2003;6.4 ;2003-09-12
3048388;Puss in Boots (2011);2011;6.7 ;2011-10-28
3107227;Searching for Debra Winger (2002);2002;6.4 ;2002-07-13
3157443;Spy Kids 2: Island of Lost Dreams (2002);2002;5.1 ;2002-08-07
3258991;The Legend of Zorro (2005);2005;5.9 ;2005-10-28
2616370;Fearless (1993);1993;7.2 ;1993-10-15
3058054;Rancho Deluxe (1975);1975;6.4 ;1975-03-14
3115642;Seventh Son (2014/I);2014;5.5 ;2015-02-06
3204878;The American Success Company (1980);1980;5.7 ;1980-03-01
3241907;The Giver (2014);2014;6.5 ;2014-08-15
3260799;The Little Prince (2015);2015;7.3 ;2015-01-01
3268127;The Men Who Stare at Goats (2009);2009;6.3 ;2009-11-06
3307916;The Vanishing (1993);1993;6.3 ;1993-02-05
3405341;White Squall (1996);1996;6.6 ;1996-02-02
3411207;Winter Kills (1979);1979;6.4 ;1979-05-11
2338791;After the Sunset (2004);2004;6.3 ;2004-11-12
2894350;Married Life (2007);2007;6.3 ;2008-03-28
2917775;Mister Johnson (1990);1990;6.4 ;1991-04-01
2976612;Océans (2009);2009;7.8 ;2010-04-22
3227050;The Deceivers (1988);1988;6.0 ;1988-09-02
2497800;Crack House (1989);1989;5.4 ;1989-11-10
2302559;300 (2006);2006;7.8 ;2007-03-09
2563475;Dracula 2000 (2000);2000;4.9 ;2000-12-22
3214262;The Bounty Hunter (2010/I);2010;5.5 ;2010-03-19
3239844;The Game of Their Lives (2005);2005;6.2 ;2005-04-22
2297640;1941 (1979);1979;5.9 ;1979-12-14
2665336;Gone with the West (1975);1975;3.2 ;1975-09-01
2915906;Misery (1990);1990;7.8 ;1990-11-30
2957831;Night at the Golden Eagle (2001);2001;5.9 ;2002-05-17
3063715;Red Line 7000 (1965);1965;5.8 ;1965-11-09
3139275;Slither (1973);1973;6.2 ;1973-03-07
3319527;This Thing of Ours (2003);2003;5.3 ;2005-01-01
2609186;Face/Off (1997);1997;7.3 ;1997-06-27
2671868;Grindhouse (2007);2007;7.7 ;2007-04-06
2865463;Lord of War (2005);2005;7.6 ;2005-09-16
2948483;National Treasure: Book of Secrets (2007);2007;6.5 ;2007-12-21
3086435;Rumble Fish (1983);1983;7.3 ;1983-10-21
3207908;The Bad Lieutenant: Port of Call - New Orleans (2009);2009;6.7 ;2009-12-11
3223103;The Cotton Club (1984);1984;6.5 ;1984-12-14
2459177;Cars 2 (2011);2011;6.3 ;2011-06-24
2525560;Deathtrap (1982);1982;7.0 ;1982-03-19
2790364;Kingsman: The Secret Service (2014);2014;7.9 ;2015-02-13
2930202;Mr. Morgan's Last Love (2013);2013;6.8 ;2013-11-01
2982339;On Deadly Ground (1994);1994;4.3 ;1994-02-18
3271280;The Muppet Christmas Carol (1992);1992;7.7 ;1992-12-11
2610806;Fall Down Dead (2007);2007;4.1 ;2009-12-18
3171060;Sublet (1998);1998;5.1 ;1999-12-21
3269591;The Misfit Brigade (1987);1987;6.0 ;1988-02-22
3310188;The Warrior and the Sorceress (1984);1984;3.7 ;1984-09-07
2765049;Jing cha gu shi 2013 (2013);2013;6.2 ;2015-06-05
3123451;Shi po tian jian (1973);1973;6.9 ;1975-01-01
3267851;The Medallion (2003);2003;5.1 ;2003-08-22
3323138;Tian jiang xiong shi (2015);2015;6.3 ;2015-09-04
3421485;Yat goh ho yan (1997);1997;6.1 ;1998-03-18
3323770;Tie shou wu qing (1969);1969;7.0 ;1973-09-01
2484245;Codename: Silencer (1995);1995;3.8 ;1997-11-01
2780211;Karate Kiba (1976);1976;5.2 ;1976-09-01
3112458;Sengoku jieitai (1979);1979;6.7 ;1981-01-01
3128446;Shôrinji kenpô (1976);1976;6.7 ;1976-02-01
3417762;Wu zhuang yuan (1980);1980;6.9 ;1981-02-01
2365895;Anna and the King (1999);1999;6.7 ;1999-12-17
3413287;Wo hu cang long (2000);2000;7.9 ;2001-01-12
2666113;Good Night, and Good Luck. (2005);2005;7.5 ;2005-11-04
2909768;Michael Clayton (2007);2007;7.3 ;2007-10-12
2976315;Ocean's Thirteen (2007);2007;6.9 ;2007-06-08
2976316;Ocean's Twelve (2004);2004;6.4 ;2004-12-10
3268127;The Men Who Stare at Goats (2009);2009;6.3 ;2009-11-06
3278978;The Perfect Storm (2000);2000;6.4 ;2000-06-30
3331977;Tomorrowland (2015);2015;6.7 ;2015-05-22
2319440;A Night to Remember (1958);1958;7.9 ;1958-12-16
2563852;DragonHeart (1996);1996;6.4 ;1996-05-31
2743014;Infinite Space: The Architecture of John Lautner (2008);2008;7.2 ;2008-09-01
2901540;Medicine Man (1992);1992;5.9 ;1992-02-07
2907919;Meteor (1979);1979;4.9 ;1979-10-19
2953690;Never Say Never Again (1983);1983;6.2 ;1983-10-07
3076092;Rising Sun (1993);1993;6.2 ;1993-07-30
3078329;Robin and Marian (1976);1976;6.6 ;1976-03-12
3429876;Zardoz (1974);1974;5.8 ;1974-02-06
2612609;Fandango (1985);1985;6.6 ;1985-01-25
2881761;Madonna: Truth or Dare (1991);1991;6.0 ;1991-05-24
2888380;Man of Steel (2013);2013;7.2 ;2013-06-14
3086523;Rumor Has It... (2005);2005;5.5 ;2005-12-25
3307560;The Upside of Anger (2005);2005;6.9 ;2005-04-01
2460121;Casino Royale (2006);2006;8.0 ;2006-11-17
2626620;Flashbacks of a Fool (2008);2008;6.8 ;2008-10-17
3182115;Sylvia (2003);2003;6.3 ;2003-10-31
3270855;The Mother (2003);2003;6.9 ;2004-06-18
2888380;Man of Steel (2013);2013;7.2 ;2013-06-14
2575406;Edge of Tomorrow (2014);2014;7.9 ;2014-06-06
2762531;Jerry Maguire (1996);1996;7.3 ;1996-12-13
3066925;Religulous (2008);2008;7.7 ;2008-10-03
3152267;Space Station 3D (2002);2002;7.5 ;2002-04-19
3236652;The Firm (1993);1993;6.8 ;1993-06-30
3372966;Vanilla Sky (2001);2001;6.9 ;2001-12-14
2479514;City by the Sea (2002);2002;6.2 ;2002-09-06
2698038;Hide and Seek (2005);2005;5.9 ;2005-01-28
2879845;Machete (2010);2010;6.7 ;2010-09-03
2902137;Meet the Fockers (2004);2004;6.3 ;2004-12-22
2917924;Mistress (1992);1992;5.4 ;1992-07-24
3159814;Stanley & Iris (1990);1990;6.2 ;1990-02-09
3269760;The Mission (1986);1986;7.5 ;1986-10-31
2522704;Dead Man (1995);1995;7.7 ;1996-05-10
2616258;Fear and Loathing in Las Vegas (1998);1998;7.7 ;1998-05-22
2984429;Once Upon a Time in Mexico (2003);2003;6.4 ;2003-09-12
3058419;Rango (2011);2011;7.3 ;2011-03-04
2673349;Guardians of the Galaxy (2014);2014;8.1 ;2014-08-01
3220102;The Chronicles of Riddick (2004);2004;6.7 ;2004-06-11
3235131;The Fast and the Furious (2001);2001;6.7 ;2001-06-22
2460355;Cast a Giant Shadow (1966);1966;6.3 ;1966-03-30
3240704;The Ghost and the Darkness (1996);1996;6.8 ;1996-10-11
3253030;The Jewel of the Nile (1985);1985;6.0 ;1985-12-11
3297744;The Star Chamber (1983);1983;6.3 ;1983-08-05
3390131;Wall Street (1987);1987;7.4 ;1987-12-11
2624806;Firstborn (1984);1984;6.2 ;1984-10-26
2659099;Girls Just Want to Have Fun (1985);1985;5.9 ;1985-04-12
2666113;Good Night, and Good Luck. (2005);2005;7.5 ;2005-11-04
2987847;Only You (1994);1994;6.5 ;1994-10-07
3073332;Richard III (1995);1995;7.5 ;1995-12-29
2355152;American Ninja 2: The Confrontation (1987);1987;4.6 ;1987-05-01
2388994;Bachelor Party (1984);1984;6.2 ;1984-06-29
2425775;Bloody Birthday (1981);1981;5.7 ;1981-04-28
2911008;Midnight Ride (1990);1990;5.1 ;1990-07-20
2389601;Back to the Future Part II (1989);1989;7.8 ;1989-11-22
2460174;Casper (1995);1995;6.0 ;1995-05-26
2479392;City Heat (1984);1984;5.4 ;1984-12-07
2784372;Kelly's Heroes (1970);1970;7.7 ;1970-06-23
2826517;Lafayette Escadrille (1958);1958;5.7 ;1958-03-01
3160607;Star in the Dust (1956);1956;6.1 ;1956-06-13
3171946;Sudden Impact (1983);1983;6.6 ;1983-12-09
3236994;The First Traveling Saleslady (1956);1956;5.6 ;1956-08-01
3344416;True Crime (1999);1999;6.6 ;1999-03-19
3350227;Two Mules for Sister Sara (1970);1970;7.0 ;1970-06-16
3298977;The Strange Case of Salman abd al Haqq (2007);2007;8.5 ;2008-11-11
3298977;The Strange Case of Salman abd al Haqq (2007);2007;8.5 ;2008-09-04
3298977;The Strange Case of Salman abd al Haqq (2007);2007;8.5 ;2008-07-28
3298977;The Strange Case of Salman abd al Haqq (2007);2007;8.5 ;2007-04-11
2899106;Maximum Overdrive (1986);1986;5.4 ;1986-07-25
2958465;Nightmares (1983);1983;5.7 ;1983-09-09
2671868;Grindhouse (2007);2007;7.7 ;2007-04-06
2879845;Machete (2010);2010;6.7 ;2010-09-03
3154997;Spin Cycle (2000);2000;6.7 ;2006-01-01
2598995;Escape from L.A. (1996);1996;5.6 ;1996-08-09
2668261;Grace of My Heart (1996);1996;6.7 ;1996-09-13
2759398;Japan (2008);2008;6.9 ;2008-01-01
3054775;Race with the Devil (1975);1975;6.6 ;1975-06-01
3153087;Spasms (1983);1983;4.6 ;1984-05-01
3155852;Split Image (1982);1982;6.8 ;1982-10-03
2607163;Extraordinary Measures (2010);2010;6.5 ;2010-01-22
2742036;Indiana Jones and the Temple of Doom (1984);1984;7.6 ;1984-05-23
3228231;The Devil's Own (1997);1997;6.1 ;1997-03-26
2607163;Extraordinary Measures (2010);2010;6.5 ;2010-01-22
2663084;Gods and Monsters (1998);1998;7.5 ;1998-11-04
2739068;In the Army Now (1994);1994;4.7 ;1994-08-12
3271247;The Mummy Returns (2001);2001;6.3 ;2001-05-04
2460174;Casper (1995);1995;6.0 ;1995-05-26
3266011;The Man Without a Face (1993);1993;6.7 ;1993-08-25
2484120;Code Name Vengeance (1987);1987;3.9 ;1989-03-01
2762531;Jerry Maguire (1996);1996;7.3 ;1996-12-13
2857194;Linewatch (2008);2008;5.5 ;2008-10-21
3064150;Red Tails (2012);2012;5.9 ;2012-01-20
2398813;Bat*21 (1988);1988;6.4 ;1988-10-21
2594241;Enemy of the State (1998);1998;7.3 ;1998-11-20
2654705;Get Shorty (1995);1995;6.9 ;1995-10-20
2734905;Imaginary Witness: Hollywood and the Holocaust (2004);2004;7.5 ;2007-12-25
2874126;Lucky Lady (1975);1975;5.2 ;1975-12-25
3034161;Postcards from the Edge (1990);1990;6.6 ;1990-09-14
3064733;Reds (1981);1981;7.5 ;1981-12-25
3176563;Superman II (1980);1980;6.8 ;1981-06-19
3190783;Target (1985);1985;5.9 ;1985-11-08
3236652;The Firm (1993);1993;6.8 ;1993-06-30
3286534;The Replacements (2000);2000;6.5 ;2000-08-11
3049400;Pyataya kazn (2010);2010;4.7 ;2011-01-01
3276167;The Osterman Weekend (1983);1983;5.9 ;1983-10-14
2549918;Dio perdona... Io no! (1967);1967;6.3 ;1969-05-01
2824792;La voce del silenzio (1953);1953;7.1 ;1953-01-01
2837634;Le meraviglie di Aladino (1961);1961;5.5 ;1961-12-13
2957840;Night at the Museum: Secret of the Tomb (2014);2014;6.3 ;2014-12-19
3040744;Prisoners (2013);2013;8.1 ;2013-09-20
2421395;Black Snake Moan (2006);2006;7.0 ;2007-03-02
2483265;Coach Carter (2005);2005;7.2 ;2005-01-14
2553552;Django Unchained (2012);2012;8.5 ;2012-12-25
2575064;Eddie Murphy: Raw (1987);1987;7.6 ;1987-12-18
2638091;Freedomland (2006);2006;5.1 ;2006-02-17
2667430;Gospel Hill (2008);2008;5.4 ;2009-08-21
2772605;Jurassic Park (1993);1993;8.1 ;1993-06-11
2790364;Kingsman: The Secret Service (2014);2014;7.9 ;2015-02-13
2791807;Kite (2014);2014;4.3 ;2014-08-28
2854661;Life's Essentials with Ruby Dee (2014);2014;7.7 ;2014-06-22
3070166;Resurrecting the Champ (2007);2007;6.8 ;2007-08-24
3160488;Star Wars: Episode I - The Phantom Menace (1999);1999;6.6 ;1999-05-19
3160491;Star Wars: Episode III - Revenge of the Sith (2005);2005;7.7 ;2005-05-19
3287011;The Return of Superfly (1990);1990;4.9 ;1990-11-09
3297042;The Spirit (2008);2008;4.8 ;2008-12-25
3344616;True Romance (1993);1993;8.0 ;1993-09-10
3436374;xXx: State of the Union (2005);2005;4.3 ;2005-04-29
2671598;Gridiron Gang (2006);2006;6.9 ;2006-09-15
3271247;The Mummy Returns (2001);2001;6.3 ;2001-05-04
3333199;Tooth Fairy (2010/I);2010;5.0 ;2010-01-22
3387753;WWE The Rock: The Most Electrifying Man In Sports Entertainment Vol 3 (2011);2011;7.4 ;2011-05-01
2420975;Black Moon Rising (1986);1986;5.4 ;1986-01-10
2905221;Men in Black (1997);1997;7.2 ;1997-07-02
3210795;The Betsy (1978);1978;5.0 ;1978-02-09
2703038;Hitokiri (1969);1969;7.7 ;1970-02-01
3427773;Yukinojô henge (1963);1963;7.7 ;1971-06-16
3430023;Zatôichi kenka-tabi (1963);1963;7.4 ;1968-06-27
2481106;Clean and Sober (1988);1988;6.7 ;1988-08-10
2748898;Inventing the Abbotts (1997);1997;6.4 ;1997-04-04
2931281;Much Ado About Nothing (1993);1993;7.4 ;1993-07-02
2938249;My Life (1993);1993;6.8 ;1993-11-12
3153734;Speechless (1994);1994;5.7 ;1994-12-16
3277372;The Paper (1994);1994;6.5 ;1994-03-25
2420265;Black Eagle (1988);1988;3.6 ;1988-05-01
3199770;Thank You (2011/I);2011;4.5 ;2011-04-08
2414572;Big Momma's House 2 (2006);2006;4.5 ;2006-01-27
3062216;Rebound (2005);2005;5.1 ;2005-07-01
2764961;Jin se tai yang (1975);1975;5.2 ;1976-07-01
2912181;Mil gritos tiene la noche (1982);1982;6.1 ;1983-09-23
2647968;Game of Death (1978);1978;6.1 ;1979-06-08
2297640;1941 (1979);1979;5.9 ;1979-12-14
2358499;An Eye for an Eye (1981);1981;5.4 ;1981-08-14
2419031;Bitter Victory (1957);1957;7.0 ;1958-03-01
2514158;Dark Places (1973);1973;5.7 ;1974-05-01
2563481;Dracula A.D. 1972 (1972);1972;5.9 ;1972-11-17
2636424;Frankenweenie (2012);2012;7.0 ;2012-10-05
2671290;Gremlins 2: The New Batch (1990);1990;6.3 ;1990-06-15
2757427;Jaguar Lives! (1979);1979;4.2 ;1979-11-01
2957941;Night of the Big Heat (1967);1967;5.5 ;1971-01-01
3032589;Port Afrique (1956);1956;5.4 ;1956-09-07
3160491;Star Wars: Episode III - Revenge of the Sith (2005);2005;7.7 ;2005-05-19
3220435;The City of the Dead (1960);1960;6.9 ;1961-09-12
3221105;The Cockleshell Heroes (1955);1955;6.7 ;1956-03-27
3238581;The Four Musketeers (1974);1974;7.1 ;1975-02-26
3280102;The Pirates of Blood River (1962);1962;6.5 ;1962-08-01
3302860;The Three Musketeers (1973);1973;7.3 ;1974-03-29
3375018;Vem var Dracula? (1975);1975;6.1 ;1975-05-15
2642118;Fu ji (1978);1978;4.2 ;1978-12-01
2764961;Jin se tai yang (1975);1975;5.2 ;1976-07-01
2828370;Lao gu lao nu lao shang lao (1978);1978;7.0 ;1978-01-01
3419338;Xin si wang you xi (1975);1975;5.5 ;1976-01-01
3431841;Zhong yuan biao ju (1976);1976;7.2 ;1981-03-01
2717691;Huo yuanjia (2006);2006;7.7 ;2006-09-22
3275333;The One (2001);2001;5.9 ;2001-11-02
3423318;Ying xiong (2002);2002;7.9 ;2004-08-27
2924595;Moonraker (1979);1979;6.3 ;1979-06-29
3297407;The Spy Who Loved Me (1977);1977;7.1 ;1977-08-03
2554791;Doctor Dolittle (1998);1998;5.3 ;1998-06-26
2565064;Dreamgirls (2006);2006;6.5 ;2006-12-25
2575064;Eddie Murphy: Raw (1987);1987;7.6 ;1987-12-18
3274486;The Nutty Professor (1996);1996;5.5 ;1996-06-28
2698721;High Spirits (1988);1988;5.6 ;1988-11-18
2734905;Imaginary Witness: Hollywood and the Holocaust (2004);2004;7.5 ;2007-12-25
2798374;Krull (1983);1983;6.0 ;1983-07-29
3160488;Star Wars: Episode I - The Phantom Menace (1999);1999;6.6 ;1999-05-19
3187393;Taken 2 (2012);2012;6.3 ;2012-10-05
3269760;The Mission (1986);1986;7.5 ;1986-10-31
2358499;An Eye for an Eye (1981);1981;5.4 ;1981-08-14
2484178;Code of Silence (1985);1985;5.9 ;1985-05-03
2647968;Game of Death (1978);1978;6.1 ;1979-06-08
2665828;Good Guys Wear Black (1978);1978;4.9 ;1978-06-01
2695762;Hero and the Terror (1988);1988;5.1 ;1988-08-26
2748793;Invasion U.S.A. (1985);1985;5.2 ;1985-09-27
2912378;Mile High: How to Win... and Lose... the White House (2009);2009;5.4 ;2009-01-01
3129447;Sidekicks (1992);1992;4.8 ;1993-04-09
2453909;Campus Man (1987);1987;4.7 ;1987-04-10
3230461;The Drifter (1988);1988;5.1 ;1988-02-01
2401444;Beat the Devil (2002);2002;7.5 ;2002-11-21
2482091;Close My Eyes (1991);1991;6.4 ;1991-11-22
2482302;Closer (2004/I);2004;7.3 ;2004-12-10
2745203;Inside Man (2006);2006;7.6 ;2006-03-24
3125965;Shoot 'Em Up (2007);2007;6.7 ;2007-09-07
2563852;DragonHeart (1996);1996;6.4 ;1996-05-31
2744076;Innerspace (1987);1987;6.7 ;1987-07-01
3034161;Postcards from the Edge (1990);1990;6.6 ;1990-09-14
3147242;Something to Talk About (1995);1995;5.6 ;1995-08-04
3169188;Stripes (1981);1981;6.9 ;1981-06-26
3197882;Terra (2007);2007;6.7 ;2009-05-01
2416124;Bill & Ted's Bogus Journey (1991);1991;6.2 ;1991-07-19
2512028;Dangerous Liaisons (1988);1988;7.7 ;1989-02-24
2931281;Much Ado About Nothing (1993);1993;7.4 ;1993-07-02
3273562;The Night Before (1988);1988;6.4 ;1988-04-15
3286534;The Replacements (2000);2000;6.5 ;2000-08-11
3310293;The Watcher (2000/I);2000;5.3 ;2000-09-08
2308638;A Bunch of Amateurs (2008);2008;6.0 ;2009-01-01
2317198;A Magic Christmas (2014);2014;5.9 ;2014-10-28
2479221;Citizen Ruth (1996);1996;7.0 ;1996-12-13
2479392;City Heat (1984);1984;5.4 ;1984-12-07
2874126;Lucky Lady (1975);1975;5.2 ;1975-12-25
2989703;Operation C.I.A. (1965);1965;4.8 ;1965-09-08
3137146;Skullduggery (1970);1970;4.6 ;1970-03-06
3141081;Smokey and the Bandit Part 3 (1983);1983;3.2 ;1983-08-12
3169313;Striptease (1996);1996;4.3 ;1996-06-28
3261936;The Longest Yard (2005);2005;6.3 ;2005-05-27
2378872;Assumed Killer (2013);2013;3.4 ;2013-11-01
2409184;Best of the Best II (1993);1993;5.3 ;1993-03-05
2475526;Christmas in Compton (2012);2012;3.8 ;2012-11-09
2497559;Cowboys vs Dinosaurs (2015);2015;3.0 ;2015-05-19
2753266;It's My Party (1996);1996;7.1 ;1996-03-22
2753388;It's Not a Date (2014);2014;5.0 ;2014-08-16
2867542;Lose-Lose (2014);2014;5.9 ;2014-01-01
2960803;No Alibi (2000);2000;3.5 ;2000-03-24
2962521;No Solicitors (2015);2015;5.0 ;2015-04-11
2995410;Out in the Open (2013);2013;8.7 ;2013-01-19
3071540;Revelation Road: The Beginning of the End (2013);2013;4.9 ;2013-03-20
3077518;Road to the Open (2014);2014;6.8 ;2014-03-28
3142534;Snow White: A Deadly Summer (2012);2012;2.2 ;2012-03-16
3204694;The Ambulance (1990);1990;5.8 ;1990-03-31
3433454;Zombie Dream (2014);2014;3.0 ;2014-04-01
2598995;Escape from L.A. (1996);1996;5.6 ;1996-08-09
2671868;Grindhouse (2007);2007;7.7 ;2007-04-06
3267718;The Mean Season (1985);1985;6.1 ;1985-02-15
3299452;The Strongest Man in the World (1975);1975;5.9 ;1975-02-06
3335464;Touchback (2011);2011;6.5 ;2012-04-13
3372966;Vanilla Sky (2001);2001;6.9 ;2001-12-14
2347768;All Jacked Up (2008);2008;6.7 ;2008-01-01
3318762;This Is America (1977);1977;5.9 ;1977-05-01
2332653;Absolution (2015/IV);2015;4.3 ;2015-05-15
2623410;Fire Down Below (1997);1997;4.9 ;1997-09-05
2879845;Machete (2010);2010;6.7 ;2010-09-03
2982339;On Deadly Ground (1994);1994;4.3 ;1994-02-18
2416124;Bill & Ted's Bogus Journey (1991);1991;6.2 ;1991-07-19
2997103;Over the Hedge (2006);2006;6.8 ;2006-05-19
3160255;Star Trek III: The Search for Spock (1984);1984;6.6 ;1984-06-01
3160320;Star Trek: Generations (1994);1994;6.6 ;1994-11-18
3052732;Quest of the Invisible Ninja (2000);2000;1.1 ;2000-01-01
2618553;Ferris Bueller's Day Off (1986);1986;7.9 ;1986-06-11
2711158;Hot Shots! (1991);1991;6.7 ;1991-07-31
3102217;Scary Movie 4 (2006);2006;5.1 ;2006-04-14
3211042;The Big Bounce (2004);2004;4.9 ;2004-01-30
3219152;The Chase (1994);1994;5.7 ;1994-03-04
3390131;Wall Street (1987);1987;7.4 ;1987-12-11
2594241;Enemy of the State (1998);1998;7.3 ;1998-11-20
2905221;Men in Black (1997);1997;7.2 ;1997-07-02
2429367;Boiling Point (1993/I);1993;4.9 ;1993-04-16
2566933;Drop Zone (1994);1994;5.6 ;1994-12-09
3076092;Rising Sun (1993);1993;6.2 ;1993-07-30
3206424;The Art of War (2000);2000;5.7 ;2000-08-25
3310436;The Waterdance (1992);1992;6.9 ;1992-05-13
3409057;Wildcats (1986);1986;5.9 ;1986-02-14
2481563;Cliffhanger (1993);1993;6.4 ;1993-05-28
2671290;Gremlins 2: The New Batch (1990);1990;6.3 ;1990-06-15
2905221;Men in Black (1997);1997;7.2 ;1997-07-02
2962195;No Place to Hide (1970);1970;4.7 ;1970-12-22
3004490;Paradise Alley (1978);1978;5.8 ;1978-09-22
3057727;Rambo III (1988);1988;5.7 ;1988-05-25
3072796;Rhinestone (1984);1984;3.6 ;1984-06-22
3434131;Zookeeper (2011);2011;5.2 ;2011-07-08
3275333;The One (2001);2001;5.9 ;2001-11-02
2761661;Jeffrey (1995);1995;6.7 ;1995-08-18
2764773;Jimmy Neutron: Boy Genius (2001);2001;6.0 ;2001-12-21
2808288;L.A. Story (1991);1991;6.7 ;1991-02-08
2896813;Masterminds (1997);1997;5.2 ;1997-08-22
2897180;Match (2014/I);2014;6.4 ;2015-01-14
3160320;Star Trek: Generations (1994);1994;6.6 ;1994-11-18
3229362;The Doctor and the Devils (1985);1985;6.2 ;1985-10-04
3239844;The Game of Their Lives (2005);2005;6.2 ;2005-04-22
3277101;The Pagemaster (1994);1994;5.9 ;1994-11-23
3394208;Wayfinders (1998);1998;5.3 ;1999-05-01
2569753;Duplex (2003);2003;5.8 ;2003-09-26
2638820;Fresh Horses (1988);1988;4.9 ;1988-11-18
2728863;If Lucy Fell (1996);1996;4.8 ;1996-03-08
2902137;Meet the Fockers (2004);2004;6.3 ;2004-12-22
2957840;Night at the Museum: Secret of the Tomb (2014);2014;6.3 ;2014-12-19
2550629;Dirty Dancing (1987);1987;6.9 ;1987-08-21
2655857;Ghost (1990);1990;7.0 ;1990-07-13
2609186;Face/Off (1997);1997;7.3 ;1997-06-27
2654705;Get Shorty (1995);1995;6.9 ;1995-10-20
3066925;Religulous (2008);2008;7.7 ;2008-10-03
3240384;The General's Daughter (1999);1999;6.2 ;1999-06-18
2359673;Anaconda (1997);1997;4.6 ;1997-04-11
2401444;Beat the Devil (2002);2002;7.5 ;2002-11-21
2433235;Boston Girls (2010);2010;2.5 ;2010-01-01
2473114;Chinaman's Chance: America's Other Slaves (2008);2008;5.3 ;2010-01-01
2644476;Furnace (2007);2007;3.9 ;2008-02-12
2671868;Grindhouse (2007);2007;7.7 ;2007-04-06
